event_id,event_name,event_scope,canonical_event_key,original_event_names,event_date,date_precision,place_id,historical_location,current_address,longitude,latitude,source_ids,display_note,correction_reason,confidence,needs_manual_review
EVT-00149,葛琴1922年上海社交活动记录,entity,葛琴1922年上海社交活动记录|ZLH-031|1922,葛琴上海社交活动,1922,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1922 年 葛琴 在 上海 有“上海社交活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00029,丁玲抵沪就读平民女校,entity,ZLH-021|丁玲抵沪就读平民女校|1922-02,丁玲上海交往活动,1922-02,月,PLC-00015,平民女校,上海（校址待核）,121.473,31.230,SRC-1126,1922年2月，丁玲抵沪进入平民女子学校求学，当前条目按这一可核实的上海起点事件展示。,澎湃文章《成为“丁玲”之前，和上海的三次际会》记载丁玲于1922年2月到上海平民女校求学，现将该条泛化活动记录改写为抵沪入学事件。,medium,yes
EVT-00028,瞿秋白到上海大学任教,entity,ZLH-003|瞿秋白到上海大学任教|1923-07,瞿秋白上海交往活动,1923-07,月,PLC-00014,上海大学,上海（具体校址待核）,121.473,31.230,SRC-1125,1923年7月，瞿秋白到上海大学任教并主持社会学系工作，当前条目按这一可公开核实的在沪活动节点展示。,党史资料记载瞿秋白于1923年7月到上海大学任教务长兼社会学系主任，现将该条泛化活动记录改写为可唯一识别的任教事件。,medium,yes
EVT-00150,丁玲进入上海大学中国文学系,entity,ZLH-021|丁玲进入上海大学中国文学系|1923-08,丁玲上海文学活动,1923-08,月,PLC-00063,上海大学中国文学系,上海（具体校址待核）,121.473,31.230,SRC-1126;SRC-1140,1923年8月，丁玲进入上海大学中国文学系旁听和学习，当前条目按这一较为明确的文学活动节点展示。,澎湃与上海大学校史资料均记载丁玲于1923年8月进入上海大学中国文学系，现将该条泛化文学活动记录改写为入学事件。,medium,yes
EVT-00013,1927年创造社文学活动记录,collective,1927年创造社文学活动记录,创造社文学活动,1927,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1927 年在 创造社（宝山路） 存在“创造社文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00043,1927年十字街头文学活动记录,collective,1927年十字街头文学活动记录,十字街头文学活动,1927,年,PLC-00022,十字街头,多伦路与山阴路交叉口,121.485,31.265,SRC-0001,当前仅能确认 1927 年在 十字街头 存在“十字街头文学活动”相关记录，尚不足以定位到单一具体事件。,,low,no
EVT-00120,上海文学论战,collective,上海文学论战,上海文学论战,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,上海文学论战于1927在上海有相关记录。,,low,no
EVT-00061,冯雪峰1927年上海文学活动记录,entity,冯雪峰1927年上海文学活动记录|ZLH-005|1927,冯雪峰上海文学活动,1927,年,PLC-00006,上海,上海,121.473,31.230,SRC-0001,当前仅能确认 1927 年 冯雪峰 在 上海 有“上海文学活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00060,冯雪峰1927年参与创造社活动记录,entity,冯雪峰1927年参与创造社活动记录|ZLH-005|1927,冯雪峰参与创造社活动,1927,年,PLC-00005,创造社（宝山路）,闸北区宝山路一带,121.473,31.260,SRC-0001,当前仅能确认 1927 年 冯雪峰 在 创造社（宝山路） 有“参与创造社活动”相关记录，尚不足以定位到单一具体事件。,原始日期疑似以1月1日填补未知月份和日期，现仅保留年份精度。,medium,yes
EVT-00119,创造社文学论战,collective,创造社文学论战,创造社文学论战,1927,年,PLC-00042,创造社（闸北宝山路）,宝山路近四川北路,121.473,31.260,SRC-0001,创造社文学论战于1927在创造社（闸北宝山路）有相关记录。,,low,no
