membership_id,organization_id,person_id,membership_role,membership_type,source_ids,evidence_ids,evidence_status,evidence_count,decision_rule,confidence,needs_manual_review
MEM-00001,ORG-001,ZLH-001,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0283;SRC-0910;SRC-0170;SRC-0815;SRC-0828;SRC-0659;SRC-0641;SRC-0881;SRC-0798;SRC-0710;SRC-0039;SRC-0009;SRC-0128;SRC-0781;SRC-0006;SRC-0843;SRC-0602;SRC-0151;SRC-0593;SRC-0904;SRC-0696;SRC-0572;SRC-0647;SRC-0849;SRC-0249;SRC-0623;SRC-0736;SRC-0974;SRC-0523,OME-00001;OME-00166;OME-00226;OME-00229;OME-00235;OME-00248;OME-00251;OME-00258;OME-00320;OME-00332;OME-00370;OME-00372;OME-00374;OME-00376;OME-00385;OME-00409;OME-00411;OME-00426;OME-00430;OME-00447;OME-00460;OME-00467;OME-00468;OME-00473;OME-00475;OME-00494;OME-00502;OME-00505;OME-00510;OME-00511;OME-00528;OME-00529;OME-00530;OME-00538;OME-00545;OME-00553;OME-00554;OME-00555;OME-00565;OME-00569;OME-00572;OME-00573;OME-00578,evidence_confirmed,43,two_independent_b_sources,high,no
MEM-00002,ORG-001,ZLH-002,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0828;SRC-0658;SRC-0975;SRC-0039;SRC-0151;SRC-0006;SRC-0625,OME-00002;OME-00167;OME-00238;OME-00259;OME-00328;OME-00356;OME-00417;OME-00476;OME-00556;OME-00559,evidence_confirmed,10,two_independent_b_sources,high,no
MEM-00003,ORG-001,ZLH-003,正式成员,confirmed_member,SRC-0001;SRC-0651;SRC-0170;SRC-0641;SRC-0872;SRC-0151;SRC-0607;SRC-0647;SRC-0006;SRC-0674,OME-00003;OME-00221;OME-00236;OME-00240;OME-00241;OME-00330;OME-00333;OME-00407;OME-00477;OME-00507;OME-00512;OME-00546;OME-00557;OME-00579;OME-00580;OME-00581,evidence_confirmed,16,two_independent_b_sources,high,no
MEM-00004,ORG-001,ZLH-004,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0855;SRC-0679;SRC-0151,OME-00004;OME-00168;OME-00284;OME-00463;OME-00478,evidence_confirmed,5,two_independent_b_sources,high,no
MEM-00005,ORG-001,ZLH-005,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0695;SRC-0641;SRC-0843;SRC-0151;SRC-0006,OME-00005;OME-00156;OME-00157;OME-00169;OME-00231;OME-00237;OME-00242;OME-00249;OME-00334;OME-00353;OME-00469;OME-00479;OME-00558,evidence_confirmed,13,two_independent_b_sources,high,no
MEM-00006,ORG-001,ZLH-006,正式成员,confirmed_member,SRC-0001;SRC-0766;SRC-0588,OME-00006;OME-00347;OME-00574,evidence_confirmed,3,two_independent_b_sources,high,no
MEM-00007,ORG-001,ZLH-007,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0695;SRC-1038;SRC-0991;SRC-0798;SRC-0039;SRC-0006;SRC-0134;SRC-0795;SRC-0140;SRC-0602;SRC-0151;SRC-0789;SRC-0702,OME-00007;OME-00158;OME-00170;OME-00250;OME-00273;OME-00275;OME-00321;OME-00342;OME-00354;OME-00364;OME-00377;OME-00418;OME-00432;OME-00439;OME-00441;OME-00445;OME-00474;OME-00480;OME-00548;OME-00551,evidence_confirmed,20,two_independent_b_sources,high,no
MEM-00008,ORG-001,ZLH-008,正式成员,confirmed_member,SRC-0001;SRC-0704;SRC-0170;SRC-0828;SRC-0810;SRC-0881;SRC-0006;SRC-0151,OME-00008;OME-00153;OME-00224;OME-00260;OME-00327;OME-00366;OME-00470;OME-00481;OME-00544,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00009,ORG-001,ZLH-009,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0170;SRC-0828;SRC-0855;SRC-0641;SRC-1036;SRC-0852;SRC-0647;SRC-0006,OME-00009;OME-00171;OME-00239;OME-00243;OME-00261;OME-00272;OME-00276;OME-00285;OME-00335;OME-00383;OME-00389;OME-00513;OME-00562,evidence_confirmed,13,two_independent_b_sources,high,no
MEM-00010,ORG-001,ZLH-010,正式成员,confirmed_member,SRC-0001;SRC-0695;SRC-0828;SRC-1067;SRC-0855;SRC-0939;SRC-0170;SRC-0151,OME-00010;OME-00172;OME-00262;OME-00274;OME-00286;OME-00302;OME-00325;OME-00350;OME-00482,evidence_confirmed,9,two_independent_b_sources,high,no
MEM-00011,ORG-001,ZLH-011,成员身份待核,candidate,SRC-0001,OME-00011,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00012,ORG-001,ZLH-012,成员身份待核,candidate,SRC-0001,OME-00012,lead_only,1,raw_lead_without_member_evidence,low,yes
MEM-00013,ORG-001,ZLH-013,成员身份待核,candidate,SRC-0001;SRC-0170;SRC-0695;SRC-0641;SRC-0881;SRC-0607;SRC-0006,OME-00013;OME-00159;OME-00173;OME-00257;OME-00336;OME-00367;OME-00508;OME-00547,insufficient_member_evidence,8,member_evidence_below_threshold,medium,yes
MEM-00014,ORG-001,ZLH-014,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0695;SRC-0749;SRC-0012;SRC-0009,OME-00014;OME-00160;OME-00174;OME-00219;OME-00234;OME-00416;OME-00431,evidence_confirmed,7,two_independent_b_sources,high,no
MEM-00015,ORG-001,ZLH-015,正式成员,confirmed_member,SRC-0001;SRC-0828;SRC-0855;SRC-0718;SRC-0852;SRC-0679;SRC-0647,OME-00015;OME-00263;OME-00287;OME-00351;OME-00390;OME-00464;OME-00514,evidence_confirmed,7,two_independent_b_sources,high,no
MEM-00016,ORG-001,ZLH-016,成员身份待核,candidate,SRC-0001;SRC-0695;SRC-0910;SRC-0170;SRC-0766,OME-00016;OME-00175;OME-00230;OME-00232;OME-00343;OME-00345,insufficient_member_evidence,6,member_evidence_below_threshold,medium,yes
MEM-00017,ORG-001,ZLH-017,正式成员,confirmed_member,SRC-0001;SRC-0170;SRC-0695;SRC-0991;SRC-0008;SRC-0854;SRC-0006;SRC-0588,OME-00017;OME-00154;OME-00176;OME-00340;OME-00362;OME-00427;OME-00531;OME-00533;OME-00535;OME-00575,evidence_confirmed,10,two_independent_b_sources,high,no
