relation_id,source_person_id,target_person_id,original_relation_type,standard_relation_type,raw_relation_type,llm_suggested_relation_type,final_relation_type,llm_reason,llm_confidence,display_status,relation_quality_score,relation_risk_level,context,evidence_ref,weight,source_ids,correction_reason,confidence,needs_manual_review
REL-00001,ZLH-001,ZLH-002,组织隶属,交往,交往,,交往,,,formal,75,high,茅盾来访。书局送来版税泉二百。茅盾来并赠《短篇小说集》一本。晚寄《动向》稿一,鲁迅日记 1933年5月17日; 鲁迅日记 1934年10月2日,1,SRC-0002;SRC-0003,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no
REL-00002,ZLH-001,ZLH-002,通信,通信,通信,,通信,,,formal,0,low,1933年月间，鲁迅与茅盾有频繁书信往来，涉及收信,鲁迅日记 1933年1月14日; 鲁迅日记 1933年2月14日,1,SRC-0004;SRC-0005,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00003,ZLH-001,ZLH-003,组织隶属,同属组织,同属组织,,同属组织,,,formal,105,critical,"(苏联)狄纳莫夫瞿秋白画独质…(372)论翻译…(373)《铁流》在巴黎………_…………""“""…….…(373)焘莆簪)`}__; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; ,先后结识下著名共产党人李达、瞿秋白等。年居北京时,结识诗人胡也",左联词典 第96页; 左联词典 第104页; 左联词典 第131页; 左联词典 第171页; 左联词典 第193页,5,SRC-0006;SRC-0007;SRC-0008;SRC-0009;SRC-0010,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,low,no
REL-00004,ZLH-001,ZLH-004,交游,交游,交游,,交游,,,formal,25,low,"和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 担任过左联执行委员职务的人员有鲁迅、沈端先(夏衍3、冯乃超、钱枪邱、田汉",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第123页; 左联词典 第128页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0013;SRC-0014,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00005,ZLH-001,ZLH-005,组织隶属,交往,交往,,交往,,,formal,75,high,雪峰来访。报》两卷。夜柔石来。雪峰来。得方善竟信并《新声》四张，另有《希望》,鲁迅日记 1929年12月26日; 鲁迅日记 1929年3月20日; 鲁迅日记 1929年4月23日; 鲁迅日记 1929年4月27日; 鲁迅日记 1929年7月20日; 鲁迅日记 1930年3月23日; 鲁迅日记 1930年3月24日; 鲁迅日记 1930年3月26日; 鲁迅日记 1930年3月28日; 鲁迅日记 1930年4月12日; 鲁迅日记 1930年4月15日; 鲁迅日记 1930年4月8日; 鲁迅日记 1930年5月28日; 鲁迅日记 1930年6月2日,1,SRC-0015;SRC-0016;SRC-0017;SRC-0018;SRC-0019;SRC-0020;SRC-0021;SRC-0022;SRC-0023;SRC-0024;SRC-0025;SRC-0026;SRC-0027;SRC-0028,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no
REL-00006,ZLH-001,ZLH-005,通信,通信,通信,,通信,,,formal,0,low,1929年月间，鲁迅与冯雪峰有频繁书信往来，涉及收信、寄信,鲁迅日记 1929年10月13日; 鲁迅日记 1929年10月15日; 鲁迅日记 1929年8月10日; 鲁迅日记 1929年8月15日; 鲁迅日记 1929年8月7日; 鲁迅日记 1933年12月23日,4,SRC-0029;SRC-0030;SRC-0031;SRC-0032;SRC-0033;SRC-0034,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00007,ZLH-001,ZLH-006,交游,交游,交游,,交游,,,formal,25,low,"24)对于左翼作家联盟的意见(鲁迅)一0C24)普罗文学运动与自我批判(潘汉年)一.(24)左翼作家联盟的意; 和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰; 意见演说词。年月日鲁迅在中国左翼作家联盟成工大会上的讲话。当时未作记录,数日后,由冯雪峰追记并综合鲁迅平时有关的言论整理而成,经鲁迅校阅后,在月1",左联词典 第5页; 左联词典 第102页; 左联词典 第125页; 左联词典 第128页; 左联词典 第167页,5,SRC-0035;SRC-0011;SRC-0036;SRC-0014;SRC-0037,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00008,ZLH-001,ZLH-007,交游,交游,交游,,交游,,,formal,25,low,"和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 妄图一举消灭左翼文艺运动.由于鲁迅和中国共产党的坚强领导,广大左翼文艺战",左联词典 第102页; 左联词典 第104页; 左联词典 第106页; 左联词典 第107页; 左联词典 第108页,5,SRC-0011;SRC-0007;SRC-0038;SRC-0012;SRC-0039,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00009,ZLH-001,ZLH-008,通信,通信,通信,,通信,,,formal,0,low,1930年月间，鲁迅与田汉有频繁书信往来，涉及收信,鲁迅日记 1930年10月4日,1,SRC-0040,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00010,ZLH-001,ZLH-009,组织隶属,通信,通信,,通信,,,formal,60,high,收到郑伯奇来信; 的一套创作丛 书 关于北方左联的事情（孙席珍） 再谈北方左联（孙席珍）——一九八○年四月五日在中国作家协会左翼文化运动 座谈会上的发言 北方左翼作家联盟杂忆（杨纤如） 又想起北方左联一事（杨纤如）——,鲁迅日记 1936年7月9日; 左联回忆录 第700页,3,SRC-0041;SRC-0042,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；上下文直接出现来信/收信/寄信类动作,medium,no
REL-00011,ZLH-001,ZLH-009,通信,通信,通信,,通信,,,formal,0,low,1935年月间，鲁迅与郑伯奇有频繁书信往来，涉及收信、寄信,鲁迅日记 1933年9月28日; 鲁迅日记 1934年11月17日; 鲁迅日记 1935年2月21日; 鲁迅日记 1935年2月26日; 鲁迅日记 1935年3月26日; 鲁迅日记 1935年6月12日; 鲁迅日记 1935年6月14日; 鲁迅日记 1935年6月2日; 鲁迅日记 1935年7月2日; 鲁迅日记 1935年8月22日; 鲁迅日记 1935年9月1日; 鲁迅日记 1936年7月9日,4,SRC-0043;SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048;SRC-0049;SRC-0050;SRC-0051;SRC-0052;SRC-0053;SRC-0041,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00012,ZLH-001,ZLH-010,创作合作,创作合作,创作合作,,创作合作,,,formal,25,low,"批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的; 作生活一一我们的庆祝》.贺词由鲁迅、茅盾、丁玲、曹靖华、洛扬(汞雪峰)、奕如(夏衍),适夷联名签署.同年月,中苏两国政府恢复邦交,左联发表《中国著作家为中苏; 起中国文艺家协会,但也十分贺同鲁迅的观点,认为决不能“一叫出联合战线,也就“猗狐狗贼都引为同志,连投机取巧者与暗探奸细都可以宽容“。1",左联词典 第104页; 左联词典 第132页; 左联词典 第142页; 左联词典 第193页; 左联词典 第204页,5,SRC-0007;SRC-0054;SRC-0055;SRC-0010;SRC-0056,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00013,ZLH-001,ZLH-011,交游,交游,交游,,交游,,,formal,25,low,"和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 了《革命文学论文集》一书,传播鲁迅、郭沫若、郁达夫、蒋光慈,钱杏邮等革命",左联词典 第102页; 左联词典 第104页; 左联词典 第140页; 左联词典 第167页; 左联词典 第238页,5,SRC-0011;SRC-0007;SRC-0057;SRC-0037;SRC-0058,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00014,ZLH-001,ZLH-012,组织隶属,同属组织,同属组织,,同属组织,,,formal,85,critical,"孪、董绍明、董每戡、董曼尼、蒋光慈、韩侍桁、韩起、韩劲风、韩日罗、程应锤、舒群、童长荣、谢冰莹、蒲风、楼适夷、雷石榆、雷石榆、路一、碧野、蔡北华、臧云远、廖沫沙; 担任过左联执行委员职务的人员有鲁迅、沈端先(夏衍3、冯乃超、钱枪邱、田汉、郑伯奇、洪灵菲、周全平、蒋光慈、胡也频、柔石、姚蓬子、阳翰笙; 奇、洪灵菲,候补常委周全平、蒋光慈。根据沙汀、任白戈、林淡秋、徐懋庸等的回忆,担任过左联常委的还有",左联词典 第104页; 左联词典 第107页; 左联词典 第108页; 左联词典 第128页; 左联词典 第140页,5,SRC-0007;SRC-0012;SRC-0039;SRC-0014;SRC-0057,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,low,no
REL-00015,ZLH-001,ZLH-013,交游,交游,交游,,交游,,,formal,25,low,"和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬年下",左联词典 第102页; 左联词典 第104页; 左联词典 第107页; 左联词典 第128页; 左联词典 第139页,5,SRC-0011;SRC-0007;SRC-0012;SRC-0014;SRC-0059,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00016,ZLH-001,ZLH-014,交游,交游,交游,,交游,,,formal,25,low,"24)对于左翼作家联盟的意见(鲁迅)一0C24)普罗文学运动与自我批判(潘汉年)一.(24)左翼作家联盟的意义及其任务(潘汉年)一…(25)中国无产阶级文学运动; 和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉; 任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪",左联词典 第5页; 左联词典 第102页; 左联词典 第107页; 左联词典 第128页; 左联词典 第168页,5,SRC-0035;SRC-0011;SRC-0012;SRC-0014;SRC-0060,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00017,ZLH-001,ZLH-015,交游,交游,交游,,交游,,,formal,0,low,达夫来访。宋椠《三世相》一本。达夫来，未遇。夜寄母亲信。复静农信。发贺内山嘉,鲁迅日记 1933年3月1日,2,SRC-0061,结构性检测未发现需要自动改写的明确证据。,medium,no
REL-00018,ZLH-001,ZLH-015,组织隶属,交往,交往,,交往,,,formal,75,high,达夫来访。九日发。晚得诗荃信。达夫来访。得费慎祥信，并见赠《现代史料》（第一集,鲁迅日记 1928年12月28日; 鲁迅日记 1929年10月10日; 鲁迅日记 1929年11月26日; 鲁迅日记 1929年1月24日; 鲁迅日记 1929年1月30日; 鲁迅日记 1929年1月31日; 鲁迅日记 1929年2月8日; 鲁迅日记 1929年4月28日; 鲁迅日记 1929年8月27日; 鲁迅日记 1929年9月25日; 鲁迅日记 1930年1月26日; 鲁迅日记 1930年1月5日; 鲁迅日记 1930年6月13日; 鲁迅日记 1931年8月31日; 鲁迅日记 1932年2月25日; 鲁迅日记 1932年3月3日; 鲁迅日记 1932年3月7日; 鲁迅日记 1932年7月12日; 鲁迅日记 1933年2月8日; 鲁迅日记 1933年2月9日; 鲁迅日记 1933年4月3日; 鲁迅日记 1933年5月17日; 鲁迅日记 1934年5月19日,1,SRC-0062;SRC-0063;SRC-0064;SRC-0065;SRC-0066;SRC-0067;SRC-0068;SRC-0069;SRC-0070;SRC-0071;SRC-0072;SRC-0073;SRC-0074;SRC-0075;SRC-0076;SRC-0077;SRC-0078;SRC-0079;SRC-0080;SRC-0081;SRC-0082;SRC-0002;SRC-0083,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；上下文直接出现来访/会见/共同行动类动作,medium,no
REL-00019,ZLH-001,ZLH-015,通信,通信,通信,,通信,,,formal,0,low,1928年月间，鲁迅与郁达夫有频繁书信往来，涉及收信、寄信,鲁迅日记 1928年11月29日; 鲁迅日记 1928年12月12日; 鲁迅日记 1928年12月13日; 鲁迅日记 1929年10月21日; 鲁迅日记 1929年10月2日; 鲁迅日记 1929年10月3日; 鲁迅日记 1929年11月13日; 鲁迅日记 1929年11月15日; 鲁迅日记 1929年2月6日; 鲁迅日记 1929年3月29日; 鲁迅日记 1929年3月9日; 鲁迅日记 1929年4月10日; 鲁迅日记 1929年7月6日; 鲁迅日记 1929年8月17日; 鲁迅日记 1929年8月18日; 鲁迅日记 1929年8月20日 等4条; 鲁迅日记 1929年9月11日; 鲁迅日记 1929年9月9日; 鲁迅日记 1930年4月21日; 鲁迅日记 1930年9月30日; 鲁迅日记 1932年3月15日; 鲁迅日记 1932年7月16日; 鲁迅日记 1932年7月18日; 鲁迅日记 1933年1月25日; 鲁迅日记 1933年1月7日; 鲁迅日记 1933年2月15日; 鲁迅日记 1933年5月18日; 鲁迅日记 1933年9月29日; 鲁迅日记 1934年7月14日; 鲁迅日记 1934年9月10日; 鲁迅日记 1934年9月12日; 鲁迅日记 1935年3月21日,4,SRC-0084;SRC-0085;SRC-0086;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091;SRC-0092;SRC-0093;SRC-0094;SRC-0095;SRC-0096;SRC-0097;SRC-0098;SRC-0099;SRC-0100;SRC-0101;SRC-0102;SRC-0103;SRC-0104;SRC-0105;SRC-0106;SRC-0107;SRC-0108;SRC-0109;SRC-0110;SRC-0111;SRC-0112;SRC-0113;SRC-0114;SRC-0115,结构性检测未发现需要自动改写的明确证据。,medium,no
