person_id,standard_name,aliases,birth_year,death_year,birth_death,role,reliability,source_ids
ZLH-001,鲁迅,周树人、L.X.、豫才,1881,1936,1881-1936,核心领导,5,SRC-0001;SRC-1143;SRC-1144;SRC-1145
ZLH-002,茅盾,沈雁冰、玄珠、方璧、微明,1896,1981,1896-1981,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-003,瞿秋白,维它、史铁儿、宋阳、何凝,1899,1935,1899-1935,核心领导,5,SRC-0001;SRC-1143;SRC-1144;SRC-1146
ZLH-004,夏衍,沈端先、黄子布、蔡叔亮、丁一,1900,1995,1900-1995,核心领导,5,SRC-0001;SRC-1143;SRC-1144;SRC-1152
ZLH-005,冯雪峰,画室、洛扬、成休、雪峰,1903,1976,1903-1976,核心领导,5,SRC-0001;SRC-1143;SRC-1144;SRC-1150
ZLH-006,潘汉年,萧叔安、胡越、小潘、胡阿毛,1906,1977,1906-1977,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-007,周扬,周起应、宜振、公甫,1908,1989,1908-1989,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-008,田汉,寿昌、陈瑜、伯鸿、汉仙,1898,1968,1898-1968,核心领导,5,SRC-0001;SRC-1143;SRC-1144;SRC-1151
ZLH-009,郑伯奇,伯奇、君嘉、席珍,1895,1979,1895-1979,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-010,洪深,洪伯飞、浅哉、伯飞,1894,1955,1894-1955,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-011,钱杏邨,阿英、魏如晦、钱谦,1900,1977,1900-1977,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-012,蒋光慈,蒋光赤、光赤、光慈,1901,1931,1901-1931,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-013,阳翰笙,欧阳继修、华汉、翰笙,1902,1993,1902-1993,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-014,冯乃超,冯其英、乃超,1905,1983,1905-1983,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-015,郁达夫,郁文、达夫,1896,1945,1896-1945,核心领导,5,SRC-0001;SRC-1143;SRC-1144
ZLH-016,柔石,赵平复、平复,1902,1931,1902-1931,骨干成员,4,SRC-0001;SRC-1143;SRC-1144;SRC-1147
ZLH-017,胡也频,胡崇轩、也频,1903,1931,1903-1931,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-018,冯铿,岭梅、梅子,1907,1931,1907-1931,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-019,殷夫,徐白、白莽,1910,1931,1910-1931,骨干成员,4,SRC-0001;SRC-1143;SRC-1144;SRC-1148
ZLH-020,李求实,李伟森、仲才、求实,1903,1931,1903-1931,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-021,丁玲,蒋冰之、彬芷,1904,1986,1904-1986,骨干成员,5,SRC-0001;SRC-1143;SRC-1144;SRC-1149
ZLH-022,张天翼,张元定、铁池、天翼,1906,1985,1906-1985,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-023,叶紫,余鹤林,1910,1939,1910-1939,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-024,艾芜,汤道耕、道耕,1904,1992,1904-1992,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-025,沙汀,杨朝熙、朝熙,1904,1992,1904-1992,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-026,胡风,张光人、谷非,1902,1985,1902-1985,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-027,萧军,刘鸿霖、三郎,1907,1988,1907-1988,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-028,萧红,张迺莹、悄吟,1911,1942,1911-1942,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-029,聂绀弩,绀弩、耳耶,1903,1986,1903-1986,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
ZLH-030,吴奚如,吴席儒、奚如,1906,1985,1906-1985,骨干成员,4,SRC-0001;SRC-1143;SRC-1144
