place_id,place_name,historical_name,current_name,place_type,longitude,latitude,source_ids,confidence,coordinate_precision,geocoding_method,coordinate_note
PLC-00001,中华艺术大学教室（原窦乐安路233弄）,中华艺术大学教室（原窦乐安路233弄）,上海市虹口区多伦路201弄2号,campus,121.48,31.27,SRC-1118;SRC-1119,high,street,auto_inferred,精确到街道级别
PLC-00002,北四川路一带,北四川路一带,四川北路近多伦路,street_site,121.482,31.26,SRC-1122,medium,district,auto_inferred,精确到区级
PLC-00003,上海龙华淞沪警备司令部刑场,上海龙华淞沪警备司令部刑场,上海龙华烈士陵园（门牌待复核）,memorial_site,121.452,31.182,SRC-1123;SRC-1124,high,street,auto_inferred,精确到街道级别
PLC-00005,创造社（宝山路）,创造社（宝山路）,闸北区宝山路一带,street_site,121.473,31.26,SRC-0001,medium,district,auto_inferred,精确到区级
PLC-00006,上海,上海,上海,historical_place,121.473,31.23,SRC-0001,medium,street,auto_inferred,精确到街道级别
PLC-00007,内山书店,内山书店,四川北路2050号,bookstore,121.482,31.251,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00008,虹口区十字街头,虹口区十字街头,虹口区,street_site,121.485,31.265,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00009,商务印书馆,商务印书馆,河南中路309号（近宝山路）,street_site,121.48,31.253,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00010,光华书局,光华书局,福州路465号,street_site,121.484,31.238,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00013,良友图书公司,良友图书公司,北四川路851号,street_site,121.482,31.255,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00014,上海大学,上海大学,上海（具体校址待核）,campus,121.473,31.23,SRC-1125,medium,street,auto_inferred,精确到街道级别
PLC-00015,平民女校,平民女校,上海（校址待核）,historical_place,121.473,31.23,SRC-1126,medium,street,auto_inferred,精确到街道级别
PLC-00016,光华书局（四马路）,光华书局（四马路）,福州路（四马路）,street_site,121.484,31.238,SRC-0001,medium,district,auto_inferred,精确到区级
PLC-00017,现代书局,现代书局,福州路465号,street_site,121.484,31.238,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00021,福建长汀县水口镇小迳村附近,福建长汀县水口镇小迳村附近,福建省龙岩市长汀县水口镇小迳村,historical_place,121.482,31.251,SRC-1127;SRC-1128,high,street,auto_inferred,精确到街道级别
PLC-00023,明星影片公司,明星影片公司,徐家汇路一带,street_site,121.467,31.21,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00024,生活书店,生活书店,福州路,bookstore,121.484,31.238,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00027,内山书店旧址,内山书店旧址,四川北路2050号,bookstore,121.482,31.251,SRC-1120;SRC-1121,medium,street,auto_inferred,精确到街道级别
PLC-00028,虹口,虹口,虹口区,historical_place,121.485,31.265,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00032,良友图书,良友图书,北四川路851号,street_site,121.482,31.255,SRC-0001,medium,district,auto_inferred,精确到区级
PLC-00034,复旦大学,复旦大学,邯郸路220号,campus,121.506,31.3,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00035,生活书店（福州路）,生活书店（福州路）,福州路465号,bookstore,121.484,31.238,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00036,复旦大学江湾校区,复旦大学江湾校区,邯郸路220号,campus,121.506,31.3,SRC-0001,low,street,auto_inferred,精确到街道级别
PLC-00039,太阳社,太阳社,闸北区,historical_place,121.46,31.255,SRC-0001,medium,street,auto_inferred,精确到街道级别
PLC-00042,创造社（闸北宝山路）,创造社（闸北宝山路）,宝山路近四川北路,street_site,121.473,31.26,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00044,上海东方旅社31号房间,上海东方旅社31号房间,上海市黄浦区汉口路一带,street_site,121.485,31.265,SRC-1129;SRC-1130,high,district,auto_inferred,精确到区级
PLC-00047,上海东方旅社,上海东方旅社,上海市黄浦区汉口路（东方旅社旧址门牌待复核）,street_site,121.473,31.26,SRC-1132,high,district,auto_inferred,精确到区级
PLC-00055,虹口昆山花园路7号寓所,虹口昆山花园路7号寓所,上海市虹口区昆山路（门牌待复核）,street_site,121.473,31.23,SRC-1135;SRC-1136,high,district,auto_inferred,精确到区级
PLC-00059,上海东方旅社、中山旅社秘密会议,上海东方旅社、中山旅社秘密会议,上海市黄浦区汉口路、天津路一带,street_site,121.473,31.23,SRC-1138,medium,district,auto_inferred,精确到区级
PLC-00063,上海大学中国文学系,上海大学中国文学系,上海（具体校址待核）,campus,121.473,31.23,SRC-1126;SRC-1140,medium,street,auto_inferred,精确到街道级别
PLC-00065,北新书局,北新书局,四川北路205号,street_site,121.482,31.26,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00066,中华艺术大学,中华艺术大学,多伦路201弄2号,campus,121.481,31.272,SRC-0001,medium,street,auto_inferred,精确到街道级别
PLC-00068,虹口区密集活动地,虹口区密集活动地,虹口区多伦路文化名人街,street_site,121.485,31.265,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00069,南京路,南京路,南京东路,street_site,121.483,31.24,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00071,荷兰西餐室,荷兰西餐室,重庆南路182号,street_site,,,SRC-0001,low,unknown,auto_inferred,坐标缺失或无法解析
PLC-00072,东方旅社,东方旅社,汉口路河南中路路口,street_site,121.48,31.23,SRC-0001,low,district,auto_inferred,精确到区级
PLC-00073,湖风书局,湖风书局,七浦路,street_site,,,SRC-0001,low,unknown,auto_inferred,坐标缺失或无法解析
PLC-00074,宋庆龄莫利爱路寓所,宋庆龄莫利爱路寓所,上海市徐汇区武康路184号,street_site,,,SRC-1141;SRC-1142,high,unknown,auto_inferred,坐标缺失或无法解析
PLC-00075,远东反战大会旧址,远东反战大会旧址,霍山路85号,street_site,,,SRC-0001,low,unknown,auto_inferred,坐标缺失或无法解析
PLC-00076,霞飞路桃源坊,霞飞路桃源坊,淮海中路593弄1-12号,street_site,,,SRC-0001,low,unknown,auto_inferred,坐标缺失或无法解析
PLC-00077,青岛民报社,青岛民报社,芝罘路,street_site,,,SRC-0001,low,unknown,auto_inferred,坐标缺失或无法解析
