source_id,source_kind,title,citation,source_path,source_url,evidence_layer,availability,evidence_strength,evidence_type,needs_manual_review,review_note,classification_rule
SRC-0001,raw_workbook,《左联相关档案资源目录》原始表格,,D:\1大创\左联知识库项目\research\raw_excel\《左联相关档案资源目录》.xlsx,,excel_candidate_fact,local,推断,档案表格,yes,候选事实来自表格整理结果，建议人工复核。,fallback:档案表格
SRC-0002,local_text_citation,鲁迅日记,鲁迅日记 1933年5月17日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0003,local_text_citation,鲁迅日记,鲁迅日记 1934年10月2日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0004,local_text_citation,鲁迅日记,鲁迅日记 1933年1月14日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0005,local_text_citation,鲁迅日记,鲁迅日记 1933年2月14日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0006,local_text_citation,左联词典,左联词典 第96页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0007,local_text_citation,左联词典,左联词典 第104页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0008,local_text_citation,左联词典,左联词典 第131页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0009,local_text_citation,左联词典,左联词典 第171页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0010,local_text_citation,左联词典,左联词典 第193页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0011,local_text_citation,左联词典,左联词典 第102页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0012,local_text_citation,左联词典,左联词典 第107页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0013,local_text_citation,左联词典,左联词典 第123页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0014,local_text_citation,左联词典,左联词典 第128页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0015,local_text_citation,鲁迅日记,鲁迅日记 1929年12月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0016,local_text_citation,鲁迅日记,鲁迅日记 1929年3月20日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0017,local_text_citation,鲁迅日记,鲁迅日记 1929年4月23日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0018,local_text_citation,鲁迅日记,鲁迅日记 1929年4月27日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0019,local_text_citation,鲁迅日记,鲁迅日记 1929年7月20日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0020,local_text_citation,鲁迅日记,鲁迅日记 1930年3月23日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0021,local_text_citation,鲁迅日记,鲁迅日记 1930年3月24日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0022,local_text_citation,鲁迅日记,鲁迅日记 1930年3月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0023,local_text_citation,鲁迅日记,鲁迅日记 1930年3月28日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0024,local_text_citation,鲁迅日记,鲁迅日记 1930年4月12日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0025,local_text_citation,鲁迅日记,鲁迅日记 1930年4月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0026,local_text_citation,鲁迅日记,鲁迅日记 1930年4月8日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0027,local_text_citation,鲁迅日记,鲁迅日记 1930年5月28日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0028,local_text_citation,鲁迅日记,鲁迅日记 1930年6月2日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0029,local_text_citation,鲁迅日记,鲁迅日记 1929年10月13日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0030,local_text_citation,鲁迅日记,鲁迅日记 1929年10月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0031,local_text_citation,鲁迅日记,鲁迅日记 1929年8月10日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0032,local_text_citation,鲁迅日记,鲁迅日记 1929年8月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0033,local_text_citation,鲁迅日记,鲁迅日记 1929年8月7日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0034,local_text_citation,鲁迅日记,鲁迅日记 1933年12月23日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0035,local_text_citation,左联词典,左联词典 第5页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0036,local_text_citation,左联词典,左联词典 第125页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0037,local_text_citation,左联词典,左联词典 第167页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0038,local_text_citation,左联词典,左联词典 第106页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0039,local_text_citation,左联词典,左联词典 第108页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0040,local_text_citation,鲁迅日记,鲁迅日记 1930年10月4日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0041,local_text_citation,鲁迅日记,鲁迅日记 1936年7月9日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0042,citation_only,左联回忆录,左联回忆录 第700页,,,citation_reference,citation_only,二手,回忆录,no,,keyword:回忆录
SRC-0043,local_text_citation,鲁迅日记,鲁迅日记 1933年9月28日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0044,local_text_citation,鲁迅日记,鲁迅日记 1934年11月17日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0045,local_text_citation,鲁迅日记,鲁迅日记 1935年2月21日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0046,local_text_citation,鲁迅日记,鲁迅日记 1935年2月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0047,local_text_citation,鲁迅日记,鲁迅日记 1935年3月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0048,local_text_citation,鲁迅日记,鲁迅日记 1935年6月12日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0049,local_text_citation,鲁迅日记,鲁迅日记 1935年6月14日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0050,local_text_citation,鲁迅日记,鲁迅日记 1935年6月2日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0051,local_text_citation,鲁迅日记,鲁迅日记 1935年7月2日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0052,local_text_citation,鲁迅日记,鲁迅日记 1935年8月22日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0053,local_text_citation,鲁迅日记,鲁迅日记 1935年9月1日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0054,local_text_citation,左联词典,左联词典 第132页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0055,local_text_citation,左联词典,左联词典 第142页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0056,local_text_citation,左联词典,左联词典 第204页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0057,local_text_citation,左联词典,左联词典 第140页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0058,local_text_citation,左联词典,左联词典 第238页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0059,local_text_citation,左联词典,左联词典 第139页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0060,local_text_citation,左联词典,左联词典 第168页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0061,local_text_citation,鲁迅日记,鲁迅日记 1933年3月1日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0062,local_text_citation,鲁迅日记,鲁迅日记 1928年12月28日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0063,local_text_citation,鲁迅日记,鲁迅日记 1929年10月10日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0064,local_text_citation,鲁迅日记,鲁迅日记 1929年11月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0065,local_text_citation,鲁迅日记,鲁迅日记 1929年1月24日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0066,local_text_citation,鲁迅日记,鲁迅日记 1929年1月30日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0067,local_text_citation,鲁迅日记,鲁迅日记 1929年1月31日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0068,local_text_citation,鲁迅日记,鲁迅日记 1929年2月8日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0069,local_text_citation,鲁迅日记,鲁迅日记 1929年4月28日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0070,local_text_citation,鲁迅日记,鲁迅日记 1929年8月27日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0071,local_text_citation,鲁迅日记,鲁迅日记 1929年9月25日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0072,local_text_citation,鲁迅日记,鲁迅日记 1930年1月26日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0073,local_text_citation,鲁迅日记,鲁迅日记 1930年1月5日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0074,local_text_citation,鲁迅日记,鲁迅日记 1930年6月13日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0075,local_text_citation,鲁迅日记,鲁迅日记 1931年8月31日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0076,local_text_citation,鲁迅日记,鲁迅日记 1932年2月25日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0077,local_text_citation,鲁迅日记,鲁迅日记 1932年3月3日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0078,local_text_citation,鲁迅日记,鲁迅日记 1932年3月7日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0079,local_text_citation,鲁迅日记,鲁迅日记 1932年7月12日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0080,local_text_citation,鲁迅日记,鲁迅日记 1933年2月8日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0081,local_text_citation,鲁迅日记,鲁迅日记 1933年2月9日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0082,local_text_citation,鲁迅日记,鲁迅日记 1933年4月3日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0083,local_text_citation,鲁迅日记,鲁迅日记 1934年5月19日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0084,local_text_citation,鲁迅日记,鲁迅日记 1928年11月29日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0085,local_text_citation,鲁迅日记,鲁迅日记 1928年12月12日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0086,local_text_citation,鲁迅日记,鲁迅日记 1928年12月13日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0087,local_text_citation,鲁迅日记,鲁迅日记 1929年10月21日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0088,local_text_citation,鲁迅日记,鲁迅日记 1929年10月2日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0089,local_text_citation,鲁迅日记,鲁迅日记 1929年10月3日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0090,local_text_citation,鲁迅日记,鲁迅日记 1929年11月13日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0091,local_text_citation,鲁迅日记,鲁迅日记 1929年11月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0092,local_text_citation,鲁迅日记,鲁迅日记 1929年2月6日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0093,local_text_citation,鲁迅日记,鲁迅日记 1929年3月29日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0094,local_text_citation,鲁迅日记,鲁迅日记 1929年3月9日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0095,local_text_citation,鲁迅日记,鲁迅日记 1929年4月10日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0096,local_text_citation,鲁迅日记,鲁迅日记 1929年7月6日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0097,local_text_citation,鲁迅日记,鲁迅日记 1929年8月17日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0098,local_text_citation,鲁迅日记,鲁迅日记 1929年8月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0099,local_text_citation,鲁迅日记,鲁迅日记 1929年8月20日 等4条,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0100,local_text_citation,鲁迅日记,鲁迅日记 1929年9月11日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0101,local_text_citation,鲁迅日记,鲁迅日记 1929年9月9日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0102,local_text_citation,鲁迅日记,鲁迅日记 1930年4月21日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0103,local_text_citation,鲁迅日记,鲁迅日记 1930年9月30日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0104,local_text_citation,鲁迅日记,鲁迅日记 1932年3月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0105,local_text_citation,鲁迅日记,鲁迅日记 1932年7月16日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0106,local_text_citation,鲁迅日记,鲁迅日记 1932年7月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0107,local_text_citation,鲁迅日记,鲁迅日记 1933年1月25日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0108,local_text_citation,鲁迅日记,鲁迅日记 1933年1月7日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0109,local_text_citation,鲁迅日记,鲁迅日记 1933年2月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0110,local_text_citation,鲁迅日记,鲁迅日记 1933年5月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0111,local_text_citation,鲁迅日记,鲁迅日记 1933年9月29日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
