evidence_id,subject_type,subject_id,predicate,object_value,source_id,locator,quote,evidence_support,source_level,review_status,reviewer_note,origin_evidence_id
FE-EVI-0357C10A69,event,EVT-00004,event_occurrence,鲁迅与柔石会面,SRC-0117,1930年3月30日,星期。昙。上午往齿科医院治疗。白薇及林惠元来。午后侍桁、雪峰、柔石来。广平来。得李春朴信。晚三弟及王蕴如携烨儿来,support,A,machine_extracted,原事件证据置信度：0.93,EVI-0357C10A69
FE-EVI-04DD852F1C,event,EVT-00005,event_occurrence,鲁迅与柔石会面,SRC-0740,第106页,"没有东西抄出,请求开释。审判长未予理睬。开庭审讯时,柔石的同乡好友、左联作家林淡秋受王育和之托也出席旁听,因案情重大,当局出于保密考虑,旁听者极少。为救援柔石,鲁迅曾捐过款。1931年2月7日《鲁迅日记》: “为赎黄后绘,捐款一百元。“ “柔石等被",support,B,machine_extracted,原事件证据置信度：0.91,EVI-04DD852F1C
FE-EVI-0528D7CD44,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0283,第97页,"30年代的大规模革和文化运动到1930年2月中国自由运动大同盟成立,达到了又一个高潮。加人这个反对白色恐余、争取人身言论出版结社自由群众组织的,大多是左翼作家及进步文化人,包括许多后来中国左鬓作家联盟的成员如鲁迅、潘汉年、郁达夫、田汉、郑伯奇、彭康、画室 ( 冯雪峰 ) 、王",support,B,machine_extracted,原事件证据置信度：0.88,EVI-0528D7CD44
FE-EVI-21007B9057,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0827,第45页,"行前还和外甥苟克嘉一同拜访了鲁迅先生,向他汇报情况,听取他的指示;潘漠华是从开封去的。在中共党组织的领导上,“从1930年4、5月起,北方文化界开始着手筹备成立北方左翼作家联盟。当时",support,B,machine_extracted,原事件证据置信度：0.86,EVI-21007B9057
FE-EVI-2EC5596E2B,event,EVT-00017,event_occurrence,鲁迅与内山完造通信,SRC-0345,1929年2月16日,晴。午后寄其中堂信。寄小峰信。寄淑卿信。寄陈毓泰、温梓川信并还稿。寄疑今信并还稿。寄许羡蒙《语丝》。林语堂来。下午往内山书店。晚寄陈望道、汪馥泉信并译稿。疑今信复退回，因觅不到住址。夜雪峰来,support,A,machine_extracted,原事件证据置信度：0.83,EVI-2EC5596E2B
FE-EVI-3B84F7AC63,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0683,第256页,起了重要作用。1930年3月2日出席中国左翼作家联盟成立,support,B,machine_extracted,原事件证据置信度：0.9,EVI-3B84F7AC63
FE-EVI-43ECB964FE,event,EVT-00005,event_occurrence,鲁迅与柔石会面,SRC-0900,第526页,"证,鲁迅《为丁忘却的记念》等2篇著名杂文和1931年1月楞石等被害后左联和革命作家国",support,B,machine_extracted,原事件证据置信度：0.91,EVI-43ECB964FE
FE-EVI-489692805D,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0125,第175页,"“组织“、“反抗“。1930年3月2日,出席中国左翼作家联盟成立",support,B,machine_extracted,原事件证据置信度：0.91,EVI-489692805D
FE-EVI-58338B3D55,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0797,第507页,"小说家。1930年3月2日出席中国左翼作家联盟成立大会,为左联发起人之一。左联成立后,参加左",support,B,machine_extracted,原事件证据置信度：0.88,EVI-58338B3D55
FE-EVI-6883382B0E,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0538,第354页,"丝社几方面人士,磋商筹组中国左翼作家联盟。工作中,尊重与信任鲁迅,逼事同鲁迅商量,表现了优良的工作作风.1930年2",support,B,machine_extracted,原事件证据置信度：0.9,EVI-6883382B0E
FE-EVI-8DB5BD3637,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0014,第128页,"“员会。中国左翼作家联盟的成立报导。署名“记者“,载《拓荒者》1930年3月10目1",support,B,machine_extracted,原事件证据置信度：0.9,EVI-8DB5BD3637
FE-EVI-D016A6A994,event,EVT-00005,event_occurrence,鲁迅与柔石会面,SRC-0910,第109页,"剑子手,才打吻到上述消息。“@ 鲁迅和左联的同志们终于获悉, .柔石等已于2月7日夜或2月8日娆晨被",support,B,machine_extracted,原事件证据置信度：0.91,EVI-D016A6A994
FE-EVI-FD8EBDD93E,event,EVT-00001,event_occurrence,中国左翼作家联盟成立大会,SRC-0892,第276页,"同盟。3月2日,出席中国左翼作家联盟成立大会,在会上报告筠备经过,当选为常务委员.",support,B,machine_extracted,原事件证据置信度：0.88,EVI-FD8EBDD93E
FE-OME-00001,person,ZLH-001,organization_membership,ORG-001,SRC-0001,persons.role,原始人物表将该人物标注为“核心领导”。,lead,D,pending,人物角色不能单独证明正式成员身份。,OME-00001
FE-OME-00002,person,ZLH-002,organization_membership,ORG-001,SRC-0001,persons.role,原始人物表将该人物标注为“核心领导”。,lead,D,pending,人物角色不能单独证明正式成员身份。,OME-00002
