organization_id,standard_name,aliases,org_type,start_date,end_date,source_ids
ORG-001,中国左翼作家联盟,左联,文学团体,1930-03-02,,SRC-0001;SRC-1118;SRC-1119
ORG-002,中华艺术大学,,教育机构,,,SRC-1118
ORG-003,内山书店,,书店,,,SRC-0001;SRC-1120;SRC-1121
ORG-0004,创造社,,文学社团,1921-07,1929,SRC-0001
ORG-0005,太阳社,,文学社团,1928-01,1930,SRC-0001
ORG-0006,文学研究会,,文学社团,1921-01-04,1932,SRC-0001
ORG-0007,朝花社,,文学社团,1928-11,1930,SRC-0001
ORG-0008,南国社,,文学社团,1924,1930,SRC-0001
ORG-0009,中国诗歌会,,文学社团,1932-09,1937,SRC-0001
ORG-0010,文艺家协会,,文学社团,1936-06-07,,SRC-0001
ORG-0011,中国左翼文化界总同盟,文总,文化组织,1930-10,1936,SRC-0001
ORG-0012,中国民权保障同盟,,政治组织,1932-12,1933-06,SRC-0001
ORG-0013,中国共产主义青年团,共青团,政治组织,1922-05-05,,SRC-0001
ORG-0014,中共中央宣传部文化工作委员会,文委,党组织,1929,1937,SRC-0001
ORG-0015,国际革命作家联盟,,国际组织,1925,1935,SRC-0001
ORG-0016,中国左翼戏剧家联盟,剧联,文艺组织,1930-08,1936,SRC-0001
ORG-0017,中国左翼美术家联盟,美联,文艺组织,1930-07,1936,SRC-0001
ORG-0018,中国左翼新闻记者联盟,记联,文艺组织,1931-10,1936,SRC-0001
ORG-0019,中国社会科学家联盟,社联,文艺组织,1930-05,1936,SRC-0001
ORG-0020,中国世界语联盟,,文艺组织,1931-11,1936,SRC-0001
ORG-0021,湖风书局,,出版机构,1931,1933,SRC-0001
ORG-0022,生活书店,,出版机构,1932-07,1948,SRC-0001
ORG-0023,现代书局,,出版机构,1927,1935,SRC-0001
ORG-0024,光华书局,,出版机构,1925,1935,SRC-0001
ORG-0025,北新书局,,出版机构,1925,1937,SRC-0001
ORG-0026,开明书店,,出版机构,1926-08,1953,SRC-0001
ORG-0027,良友图书印刷公司,,出版机构,1925,1946,SRC-0001
ORG-0028,天马书店,,出版机构,1932,1937,SRC-0001
ORG-0029,《萌芽》月刊编辑部,,编辑部,1930-01,1930-05,SRC-0001
ORG-0030,《前哨》编辑部,,编辑部,1931-04,1931-04,SRC-0001
ORG-0031,《北斗》编辑部,,编辑部,1931-09,1932-07,SRC-0001
ORG-0032,《文学月报》编辑部,,编辑部,1932-06,1932-12,SRC-0001
ORG-0033,《十字街头》编辑部,,编辑部,1931-12,1932-01,SRC-0001
ORG-0034,上海大学,,教育机构,1922-10,1927,SRC-0001
ORG-0035,平民女子学校,平民女校,教育机构,1921-12,1923,SRC-0001
ORG-0036,商务印书馆,,出版机构,1897-02-11,,SRC-0001
