event_participant_id,event_id,person_id,participant_name,participant_role,source_ids,confidence,needs_manual_review
EVP-00001,EVT-00001,ZLH-001,鲁迅,待核,SRC-1118;SRC-1119,high,no
EVP-00082,EVT-00001,ZLH-006,潘汉年,待核,SRC-1118;SRC-1119,high,no
EVP-00125,EVT-00001,ZLH-011,钱杏邨,待核,SRC-1118;SRC-1119,high,no
EVP-00137,EVT-00001,ZLH-012,蒋光慈,待核,SRC-1118;SRC-1119,high,no
EVP-00083,EVT-00001,ZLH-016,柔石,待核,SRC-1118;SRC-1119,high,no
EVP-00126,EVT-00001,ZLH-019,殷夫,待核,SRC-1118;SRC-1119,high,no
EVP-00014,EVT-00001,ZLH-020,李求实,待核,SRC-1118;SRC-1119,high,no
EVP-00235,EVT-00001,ZLH-024,艾芜,待核,SRC-1118;SRC-1119,high,no
EVP-00002,EVT-00002,ZLH-001,鲁迅,直接参与者,SRC-1122,medium,yes
EVP-00003,EVT-00002,ZLH-016,柔石,直接参与者,SRC-1122,medium,yes
EVP-00004,EVT-00003,ZLH-001,鲁迅,直接参与者,SRC-1122,medium,yes
EVP-00005,EVT-00003,ZLH-016,柔石,直接参与者,SRC-1122,medium,yes
EVP-00006,EVT-00004,ZLH-001,鲁迅,直接参与者,SRC-1122,low,yes
EVP-00007,EVT-00004,ZLH-016,柔石,直接参与者,SRC-1122,low,yes
EVP-00008,EVT-00005,ZLH-001,鲁迅,关联人物,SRC-1123;SRC-1124,high,yes
EVP-00032,EVT-00005,ZLH-002,茅盾,关联人物,SRC-1123;SRC-1124,high,yes
EVP-00069,EVT-00005,ZLH-005,冯雪峰,关联人物,SRC-1123;SRC-1124,high,yes
EVP-00009,EVT-00005,ZLH-016,柔石,直接参与者,SRC-1123;SRC-1124,high,yes
EVP-00010,EVT-00005,ZLH-017,胡也频,直接参与者,SRC-1123;SRC-1124,high,yes
EVP-00011,EVT-00005,ZLH-018,冯铿,直接参与者,SRC-1123;SRC-1124,high,yes
EVP-00012,EVT-00005,ZLH-019,殷夫,直接参与者,SRC-1123;SRC-1124,high,yes
EVP-00013,EVT-00005,ZLH-020,李求实,关联人物,SRC-1123;SRC-1124,high,yes
EVP-00015,EVT-00006,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00016,EVT-00006,ZLH-034,彭康,unclear,SRC-0001,medium,yes
EVP-00017,EVT-00007,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00117,EVT-00008,ZLH-009,郑伯奇,unclear,SRC-0001,medium,yes
EVP-00018,EVT-00008,ZLH-034,彭康,unclear,SRC-0001,medium,yes
EVP-00019,EVT-00009,ZLH-001,鲁迅,冲突,SRC-0001,high,yes
EVP-00020,EVT-00010,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00021,EVT-00011,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00022,EVT-00012,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00023,EVT-00013,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00024,EVT-00014,ZLH-001,鲁迅,unclear,SRC-0001,low,yes
EVP-00025,EVT-00015,ZLH-001,鲁迅,unclear,SRC-0001,low,yes
EVP-00026,EVT-00016,ZLH-001,鲁迅,unclear,SRC-0001,low,yes
EVP-00027,EVT-00017,ZLH-001,鲁迅,unclear,SRC-0001,low,yes
EVP-00028,EVT-00018,ZLH-001,鲁迅,unclear,SRC-0001,low,yes
EVP-00029,EVT-00019,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00030,EVT-00020,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00031,EVT-00021,ZLH-001,鲁迅,unclear,SRC-0001,medium,yes
EVP-00033,EVT-00022,ZLH-002,茅盾,unclear,SRC-0001,medium,yes
EVP-00034,EVT-00023,ZLH-002,茅盾,unclear,SRC-0001,medium,yes
EVP-00035,EVT-00024,ZLH-002,茅盾,unclear,SRC-0001,medium,yes
EVP-00036,EVT-00025,ZLH-002,茅盾,unclear,SRC-0001,medium,yes
EVP-00037,EVT-00026,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00038,EVT-00027,ZLH-021,丁玲,unclear,SRC-0001,medium,yes
EVP-00039,EVT-00028,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00040,EVT-00029,ZLH-032,徐懋庸,unclear,SRC-0001,medium,yes
EVP-00041,EVT-00030,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00042,EVT-00031,ZLH-032,徐懋庸,unclear,SRC-0001,medium,yes
EVP-00043,EVT-00032,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00044,EVT-00033,ZLH-032,徐懋庸,unclear,SRC-0001,medium,yes
EVP-00045,EVT-00034,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00046,EVT-00035,ZLH-037,楼适夷,unclear,SRC-0001,medium,yes
EVP-00047,EVT-00036,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00048,EVT-00036,ZLH-037,楼适夷,unclear,SRC-0001,medium,yes
EVP-00049,EVT-00037,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00050,EVT-00037,ZLH-037,楼适夷,unclear,SRC-0001,medium,yes
EVP-00051,EVT-00038,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00052,EVT-00038,ZLH-042,魏金枝,unclear,SRC-0001,medium,yes
EVP-00053,EVT-00039,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00054,EVT-00040,ZLH-003,瞿秋白,冲突,SRC-0001,high,yes
EVP-00055,EVT-00041,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00056,EVT-00042,ZLH-003,瞿秋白,unclear,SRC-0001,medium,yes
EVP-00057,EVT-00043,ZLH-004,夏衍,unclear,SRC-0001,medium,yes
EVP-00058,EVT-00044,ZLH-029,聂绀弩,unclear,SRC-0001,medium,yes
EVP-00059,EVT-00045,ZLH-004,夏衍,unclear,SRC-0001,medium,yes
EVP-00060,EVT-00046,ZLH-004,夏衍,unclear,SRC-0001,medium,yes
EVP-00061,EVT-00047,ZLH-004,夏衍,unclear,SRC-0001,medium,yes
EVP-00062,EVT-00048,ZLH-004,夏衍,unclear,SRC-0001,medium,yes
