membership_id,organization_id,person_id,membership_role,membership_type,source_ids,confidence,needs_manual_review
MEM-00001,ORG-001,ZLH-001,核心领导,member,SRC-0001,high,no
MEM-00002,ORG-001,ZLH-002,核心领导,member,SRC-0001,high,no
MEM-00003,ORG-001,ZLH-003,核心领导,member,SRC-0001,high,no
MEM-00004,ORG-001,ZLH-004,核心领导,member,SRC-0001,high,no
MEM-00005,ORG-001,ZLH-005,核心领导,member,SRC-0001,high,no
MEM-00006,ORG-001,ZLH-006,核心领导,member,SRC-0001,high,no
MEM-00007,ORG-001,ZLH-007,核心领导,member,SRC-0001,high,no
MEM-00008,ORG-001,ZLH-008,核心领导,member,SRC-0001,high,no
MEM-00009,ORG-001,ZLH-009,核心领导,member,SRC-0001,high,no
MEM-00010,ORG-001,ZLH-010,核心领导,member,SRC-0001,high,no
MEM-00011,ORG-001,ZLH-011,核心领导,member,SRC-0001,high,no
MEM-00012,ORG-001,ZLH-012,核心领导,member,SRC-0001,high,no
MEM-00013,ORG-001,ZLH-013,核心领导,member,SRC-0001,high,no
MEM-00014,ORG-001,ZLH-014,核心领导,member,SRC-0001,high,no
MEM-00015,ORG-001,ZLH-015,核心领导,member,SRC-0001,high,no
MEM-00016,ORG-001,ZLH-016,骨干成员,member,SRC-0001,high,no
MEM-00017,ORG-001,ZLH-017,骨干成员,member,SRC-0001,high,no
MEM-00018,ORG-001,ZLH-018,骨干成员,member,SRC-0001,high,no
MEM-00019,ORG-001,ZLH-019,骨干成员,member,SRC-0001,high,no
MEM-00020,ORG-001,ZLH-020,骨干成员,member,SRC-0001,high,no
MEM-00021,ORG-001,ZLH-021,骨干成员,member,SRC-0001,high,no
MEM-00022,ORG-001,ZLH-022,骨干成员,member,SRC-0001,high,no
MEM-00023,ORG-001,ZLH-023,骨干成员,member,SRC-0001,high,no
MEM-00024,ORG-001,ZLH-024,骨干成员,member,SRC-0001,high,no
MEM-00025,ORG-001,ZLH-025,骨干成员,member,SRC-0001,high,no
MEM-00026,ORG-001,ZLH-026,骨干成员,member,SRC-0001,high,no
MEM-00027,ORG-001,ZLH-027,骨干成员,member,SRC-0001,high,no
MEM-00028,ORG-001,ZLH-028,骨干成员,member,SRC-0001,high,no
MEM-00029,ORG-001,ZLH-029,骨干成员,member,SRC-0001,high,no
MEM-00030,ORG-001,ZLH-030,骨干成员,member,SRC-0001,high,no
MEM-00031,ORG-001,ZLH-031,骨干成员,member,SRC-0001,high,no
MEM-00032,ORG-001,ZLH-032,骨干成员,member,SRC-0001,high,no
MEM-00033,ORG-001,ZLH-033,骨干成员,member,SRC-0001,high,no
MEM-00034,ORG-001,ZLH-034,骨干成员,member,SRC-0001,high,no
MEM-00035,ORG-001,ZLH-035,骨干成员,member,SRC-0001,high,no
MEM-00036,ORG-001,ZLH-036,骨干成员,member,SRC-0001,high,no
MEM-00037,ORG-001,ZLH-037,骨干成员,member,SRC-0001,high,no
MEM-00038,ORG-001,ZLH-038,骨干成员,member,SRC-0001,high,no
MEM-00039,ORG-001,ZLH-039,骨干成员,member,SRC-0001,high,no
MEM-00040,ORG-001,ZLH-040,骨干成员,member,SRC-0001,high,no
MEM-00041,ORG-001,ZLH-041,骨干成员,member,SRC-0001,high,no
MEM-00042,ORG-001,ZLH-042,骨干成员,member,SRC-0001,high,no
MEM-00043,ORG-001,ZLH-043,骨干成员,member,SRC-0001,high,no
MEM-00044,ORG-001,ZLH-044,骨干成员,member,SRC-0001,high,no
MEM-00045,ORG-001,ZLH-045,骨干成员,member,SRC-0001,high,no
MEM-00046,ORG-001,ZLH-046,骨干成员,member,SRC-0001,high,no
MEM-00047,ORG-001,ZLH-047,骨干成员,member,SRC-0001,high,no
MEM-00048,ORG-001,ZLH-048,骨干成员,member,SRC-0001,high,no
MEM-00049,ORG-001,ZLH-049,骨干成员,member,SRC-0001,high,no
MEM-00050,ORG-001,ZLH-050,骨干成员,member,SRC-0001,high,no
MEM-00051,ORG-001,ZLH-051,骨干成员,member,SRC-0001,high,no
MEM-00052,ORG-001,ZLH-052,骨干成员,member,SRC-0001,high,no
MEM-00053,ORG-001,ZLH-053,骨干成员,member,SRC-0001,high,no
MEM-00054,ORG-001,ZLH-054,骨干成员,member,SRC-0001,high,no
