sheet_name,row_number,primary_key,issue_summary,source_url,evidence_ref_used,confidence
Sheet2,4,3|ZLH-001|ZLH-003,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；存在明显OCR噪声；证据只能支持同属组织或共同组织关联,,左联词典 第96页; 左联词典 第104页; 左联词典 第131页; 左联词典 第171页; 左联词典 第193页,low
Sheet2,15,14|ZLH-001|ZLH-012,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第107页; 左联词典 第108页; 左联词典 第128页; 左联词典 第140页,low
Sheet2,29,28|ZLH-001|ZLH-024,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第109页; 左联词典 第131页; 左联词典 第155页; 左联词典 第227页,low
Sheet2,35,34|ZLH-001|ZLH-031,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第131页; 左联词典 第252页; 左联词典 第331页; 左联词典 第483页,low
Sheet2,38,37|ZLH-001|ZLH-035,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第107页; 左联词典 第131页; 左联词典 第402页; 左联词典 第483页,low
Sheet2,44,43|ZLH-001|ZLH-043,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,46,45|ZLH-001|ZLH-046,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,55,54|ZLH-001|ZLH-064,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,64,63|ZLH-001|ZLH-077,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第186页; 左联词典 第287页; 左联词典 第288页; 左联词典 第308页; 左联词典 第438页,low
Sheet2,68,67|ZLH-001|ZLH-083,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,69,68|ZLH-001|ZLH-084,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,70,69|ZLH-001|ZLH-085,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,72,71|ZLH-001|ZLH-093,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第193页; 左联词典 第343页; 左联词典 第491页; 左联词典 第499页,low
Sheet2,73,72|ZLH-001|ZLH-094,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第180页,low
Sheet2,75,74|ZLH-001|ZLH-097,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,80,79|ZLH-001|ZLH-105,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第109页; 左联词典 第228页; 左联词典 第243页; 左联词典 第353页; 左联词典 第483页,low
Sheet2,88,87|ZLH-001|ZLH-120,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第107页; 左联词典 第108页; 左联词典 第209页; 左联词典 第302页; 左联词典 第445页,low
Sheet2,108,107|ZLH-001|ZLH-138,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第498页,low
Sheet2,113,112|ZLH-001|ZLH-143,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少亲属关键词；证据不足以支撑原关系类型,,左联史 第139页; 左联史 第186页; 左联史 第190页; 左联史 第192页; 左联史 第268页,low
Sheet2,117,116|ZLH-001|ZLH-148,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第190页,low
Sheet2,121,120|ZLH-002|ZLH-005,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第102页; 左联词典 第104页; 左联词典 第123页; 左联词典 第131页; 左联词典 第132页,low
Sheet2,122,121|ZLH-002|ZLH-006,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第102页; 左联词典 第173页; 左联词典 第694页,low
Sheet2,125,124|ZLH-002|ZLH-009,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第102页; 左联词典 第104页; 左联词典 第108页; 左联词典 第132页; 左联词典 第135页,low
Sheet2,128,127|ZLH-002|ZLH-012,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第108页; 左联词典 第168页; 左联词典 第239页; 左联词典 第341页,low
Sheet2,139,138|ZLH-002|ZLH-023,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第109页; 左联词典 第359页; 左联词典 第431页; 左联词典 第481页,low
Sheet2,145,144|ZLH-002|ZLH-029,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第228页; 左联词典 第281页; 左联词典 第283页; 左联词典 第481页,low
Sheet2,150,149|ZLH-002|ZLH-035,人物-人物关系使用强证据型关系标签；证据更像长名单并列共现；缺少师生关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第131页; 左联词典 第189页; 左联词典 第483页; 左联词典 第486页,low
Sheet2,155,154|ZLH-002|ZLH-041,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,159,158|ZLH-002|ZLH-046,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,162,161|ZLH-002|ZLH-050,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第102页,low
Sheet2,164,163|ZLH-002|ZLH-054,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第483页,low
Sheet2,168,167|ZLH-002|ZLH-061,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第168页,low
Sheet2,173,172|ZLH-002|ZLH-071,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第619页; 左联史 第620页,low
Sheet2,174,173|ZLH-002|ZLH-073,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第102页,low
Sheet2,178,177|ZLH-002|ZLH-080,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第457页; 左联词典 第619页,low
Sheet2,179,178|ZLH-002|ZLH-081,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第486页,low
Sheet2,180,179|ZLH-002|ZLH-082,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第431页,low
Sheet2,182,181|ZLH-002|ZLH-084,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第49页; 左联史 第50页; 左联史 第61页; 左联史 第527页; 左联史 第548页,low
Sheet2,184,183|ZLH-002|ZLH-091,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,185,184|ZLH-002|ZLH-093,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第491页,low
Sheet2,187,186|ZLH-002|ZLH-097,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第274页; 左联词典 第431页; 左联词典 第520页,low
Sheet2,191,190|ZLH-002|ZLH-104,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联词典 第119页,low
