Source,Target,Relation_Type,Context,Evidence_Ref,Weight,csv_line,pair_key,Original_Relation_Type,Suggested_Relation_Type,Audit_Flags,Audit_Note,Source_Name,Target_Name,Source_Role,Target_Role
ZLH-002,ZLH-007,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,2,ZLH-002__ZLH-007,强关联-组织隶属,,,,茅盾,周扬,核心领导,核心领导
ZLH-002,ZLH-013,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,3,ZLH-002__ZLH-013,强关联-组织隶属,,,,茅盾,阳翰笙,核心领导,核心领导
ZLH-002,ZLH-004,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,4,ZLH-002__ZLH-004,强关联-组织隶属,,,,茅盾,夏衍,核心领导,核心领导
ZLH-002,ZLH-076,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,5,ZLH-002__ZLH-076,强关联-组织隶属,,,,茅盾,马宁,核心领导,普通成员
ZLH-002,ZLH-021,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,6,ZLH-002__ZLH-021,强关联-组织隶属,,,,茅盾,丁玲,核心领导,骨干成员
ZLH-002,ZLH-037,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,7,ZLH-002__ZLH-037,强关联-组织隶属,,,,茅盾,楼适夷,核心领导,骨干成员
ZLH-002,ZLH-150,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,8,ZLH-002__ZLH-150,强关联-组织隶属,,,,茅盾,萧三,核心领导,相关人士
ZLH-002,ZLH-025,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,9,ZLH-002__ZLH-025,强关联-组织隶属,,,,茅盾,沙汀,核心领导,骨干成员
ZLH-002,ZLH-024,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,10,ZLH-002__ZLH-024,强关联-组织隶属,,,,茅盾,艾芜,核心领导,骨干成员
ZLH-002,ZLH-067,强关联-组织隶属,"念“左联”成立五十周年大会上的书面发言（茅盾）（一九八○年三月二十
八日）
携起手来，放声歌唱，鼓舞人民建设社会主义新生活（胡乔木）——在纪念“
左联”成立五十周年大会上的讲话
继承和发扬左翼文化运动",左联回忆录 第699页,4,11,ZLH-002__ZLH-067,强关联-组织隶属,,,,茅盾,任钧,核心领导,普通成员
