Entity_ID,Timestamp,Hist_Loc,Current_Loc,Longitude,Latitude,Event
ZLH-001,1930-03-02 00:00:00,公啡咖啡馆,四川北路多伦路口,121.48,31.27,左联成立大会
ZLH-003;ZLH-021;ZLH-018;ZLH-031,1922-01-01,上海,上海,121.473,31.230,交往/拜访
ZLH-021,1922-01-01,上海,上海,121.473,31.230,文学活动
ZLH-019;ZLH-021;ZLH-020,1922-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-018;ZLH-037;ZLH-019,1923-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-018;ZLH-037;ZLH-019,1923-01-01,创造社,闸北宝山路,121.473,31.260,逮捕/牺牲
ZLH-018;ZLH-037;ZLH-019,1923-01-01,前哨,虹口区,121.485,31.265,逮捕/牺牲
ZLH-013;ZLH-032;ZLH-034,1927-01-01,上海,上海,121.473,31.230,一般活动
ZLH-001;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1927-01-01,上海,上海,121.473,31.230,文学活动
ZLH-014;ZLH-034,1927-01-01,上海,上海,121.473,31.230,文学论战
ZLH-001;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1927-01-01,创造社,闸北宝山路,121.473,31.260,文学活动
ZLH-014;ZLH-034,1927-01-01,创造社,闸北宝山路,121.473,31.260,文学论战
ZLH-003,1927-01-01,十字街头,虹口区,121.485,31.265,文学活动
ZLH-116;ZLH-122,1928-01-01,上海,上海,121.473,31.230,一般活动
ZLH-001;ZLH-034;ZLH-004;ZLH-005;ZLH-009;ZLH-012;ZLH-013,1928-01-01,上海,上海,121.473,31.230,文学活动
ZLH-001;ZLH-034;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1928-01-01,创造社,闸北宝山路,121.473,31.260,文学活动
ZLH-012,1928-01-01,太阳社,闸北区,121.460,31.255,文学活动
ZLH-036,1928-01-01,萌芽月刊,闸北区,121.460,31.255,文学活动
ZLH-015;ZLH-036,1929-01-01,上海,上海,121.473,31.230,一般活动
ZLH-012;ZLH-018;ZLH-016;ZLH-048;ZLH-042;ZLH-119;ZLH-123,1929-01-01,上海,上海,121.473,31.230,文学活动
ZLH-036,1929-01-01,中华艺术大学,多伦路201弄2号,121.481,31.272,一般活动
ZLH-012;ZLH-018,1929-01-01,太阳社,闸北区,121.460,31.255,文学活动
ZLH-001,1929-02-16,内山书店,四川北路2050号,121.482,31.251,交往/拜访
ZLH-001,1929-06-19,内山完造,四川北路2050号,121.482,31.251,通信/联络
ZLH-001,1929-07-07,内山书店,四川北路2050号,121.482,31.251,交往/拜访
ZLH-001;ZLH-016,1929-08-29,北四川路,四川北路,121.482,31.260,交往/拜访
ZLH-001,1929-09-23,内山完造,四川北路2050号,121.482,31.251,通信/联络
ZLH-007;ZLH-016;ZLH-036,1930-01-01,上海,上海,121.473,31.230,一般活动
ZLH-006;ZLH-016;ZLH-012,1930-01-01,上海,上海,121.473,31.230,左联成立大会
ZLH-037;ZLH-061;ZLH-141,1930-01-01,上海,上海,121.473,31.230,文学活动
ZLH-036,1930-01-01,中华艺术大学,多伦路201弄2号,121.481,31.272,一般活动
ZLH-016,1930-01-01,光华书局,四马路（福州路）,121.484,31.238,文学活动
ZLH-001,1930-01-01,光华书局,四马路（福州路）,121.484,31.238,签名/抗议
ZLH-009,1930-01-01,内山完造,四川北路2050号,121.482,31.251,文学活动
ZLH-009,1930-01-01,创造社,闸北宝山路,121.473,31.260,文学活动
ZLH-001,1930-01-01,十字街头,虹口区,121.485,31.265,文学活动
ZLH-016,1930-01-01,商务印书馆,河南路宝山路,121.480,31.253,文学活动
ZLH-001,1930-01-01,商务印书馆,河南路宝山路,121.480,31.253,签名/抗议
ZLH-012,1930-01-01,太阳社,闸北区,121.460,31.255,左联成立大会
ZLH-003;ZLH-042,1930-01-01,萌芽月刊,闸北区,121.460,31.255,文学活动
ZLH-001;ZLH-016,1930-03-28,北四川路,四川北路,121.482,31.260,交往/拜访
ZLH-001;ZLH-016,1930-03-30,北四川路,四川北路,121.482,31.260,交往/拜访
ZLH-014;ZLH-021;ZLH-029;ZLH-030;ZLH-032;ZLH-077;ZLH-123,1931-01-01,上海,上海,121.473,31.230,一般活动
ZLH-024,1931-01-01,上海,上海,121.473,31.230,左联成立大会
ZLH-001;ZLH-002;ZLH-003;ZLH-006;ZLH-007;ZLH-008;ZLH-014;ZLH-015;ZLH-025;ZLH-054;ZLH-091;ZLH-063;ZLH-122;ZLH-133;ZLH-119;ZLH-123;ZLH-131;ZLH-145;ZLH-143;ZLH-144,1931-01-01,上海,上海,121.473,31.230,文学活动
ZLH-006;ZLH-021;ZLH-100;ZLH-145;ZLH-128;ZLH-132;ZLH-137,1931-01-01,上海,上海,121.473,31.230,社会活动
ZLH-002;ZLH-020;ZLH-016;ZLH-017;ZLH-018;ZLH-037;ZLH-019;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,内山书店,四川北路2050号,121.482,31.251,秘密会议
ZLH-018;ZLH-019;ZLH-020,1931-01-01,内山书店,四川北路2050号,121.482,31.251,逮捕/牺牲
ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,内山完造,四川北路2050号,121.482,31.251,秘密会议
ZLH-018;ZLH-019;ZLH-020,1931-01-01,内山完造,四川北路2050号,121.482,31.251,逮捕/牺牲
ZLH-018;ZLH-037;ZLH-019,1931-01-01,创造社,闸北宝山路,121.473,31.260,逮捕/牺牲
ZLH-001;ZLH-020,1931-01-01,前哨,虹口区,121.485,31.265,左联成立大会
ZLH-005;ZLH-020;ZLH-016;ZLH-018;ZLH-037;ZLH-019,1931-01-01,前哨,虹口区,121.485,31.265,逮捕/牺牲
ZLH-011;ZLH-019,1931-01-01,复旦大学,邯郸路220号,121.506,31.300,左联成立大会
ZLH-008;ZLH-019;ZLH-045;ZLH-011;ZLH-013,1931-01-01,复旦大学,邯郸路220号,121.506,31.300,文学活动
ZLH-013;ZLH-019,1931-01-01,复旦大学,邯郸路220号,121.506,31.300,逮捕/牺牲
ZLH-005;ZLH-020,1931-01-01,萌芽月刊,闸北区,121.460,31.255,逮捕/牺牲
ZLH-005;ZLH-013;ZLH-015;ZLH-021;ZLH-036;ZLH-037;ZLH-091;ZLH-121,1931-01-01,虹口,虹口区,121.485,31.265,秘密会议
ZLH-018;ZLH-019;ZLH-020,1931-01-01,虹口,虹口区,121.485,31.265,逮捕/牺牲
ZLH-001;ZLH-020,1931-01-01,龙华,龙华烈士陵园,121.452,31.182,左联成立大会
ZLH-002;ZLH-020;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,龙华,龙华烈士陵园,121.452,31.182,逮捕/牺牲
ZLH-001;ZLH-020,1931-01-01,龙华淞沪警备,龙华烈士陵园,121.452,31.182,左联成立大会
ZLH-002;ZLH-020;ZLH-005;ZLH-024;ZLH-025;ZLH-031;ZLH-035,1931-01-01,龙华淞沪警备,龙华烈士陵园,121.452,31.182,逮捕/牺牲
ZLH-001,1931-08-21,内山完造,四川北路2050号,121.482,31.251,通信/联络
ZLH-014;ZLH-021,1932-01-01,上海,上海,121.473,31.230,一般活动
ZLH-036,1932-01-01,上海,上海,121.473,31.230,会议/集会
ZLH-012,1932-01-01,上海,上海,121.473,31.230,左联成立大会
ZLH-002;ZLH-004;ZLH-006;ZLH-007;ZLH-036;ZLH-042;ZLH-010;ZLH-014;ZLH-015;ZLH-021;ZLH-025;ZLH-026;ZLH-031;ZLH-032;ZLH-035;ZLH-037;ZLH-045;ZLH-054;ZLH-100;ZLH-059;ZLH-067;ZLH-105,1932-01-01,上海,上海,121.473,31.230,文学活动
ZLH-007;ZLH-021,1932-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-002;ZLH-003;ZLH-037;ZLH-004;ZLH-007;ZLH-036;ZLH-042;ZLH-008;ZLH-010;ZLH-015;ZLH-025;ZLH-026;ZLH-031;ZLH-035;ZLH-054;ZLH-100;ZLH-059;ZLH-067;ZLH-105,1932-01-01,光华书局,四马路（福州路）,121.484,31.238,文学活动
ZLH-042,1932-01-01,内山完造,四川北路2050号,121.482,31.251,一般活动
ZLH-133;ZLH-150,1932-01-01,内山完造,四川北路2050号,121.482,31.251,会议/集会
ZLH-058;ZLH-133,1932-01-01,内山完造,四川北路2050号,121.482,31.251,文学活动
ZLH-003;ZLH-037,1932-01-01,前哨,虹口区,121.485,31.265,文学活动
ZLH-005,1932-01-01,前哨,虹口区,121.485,31.265,逮捕/牺牲
ZLH-032,1932-01-01,北新书局,四川北路,121.482,31.260,文学活动
ZLH-012,1932-01-01,太阳社,闸北区,121.460,31.255,左联成立大会
ZLH-003;ZLH-037;ZLH-007,1932-01-01,文学月报,虹口区,121.485,31.265,文学活动
ZLH-004,1932-01-01,明星影片公司,枫林桥徐家汇路,121.467,31.210,文学活动
ZLH-083;ZLH-141,1933-01-01,上海,上海,121.473,31.230,文学活动
ZLH-039,1933-01-01,上海,上海,121.473,31.230,签名/抗议
ZLH-007;ZLH-019;ZLH-026;ZLH-029;ZLH-030,1933-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-011;ZLH-037,1933-01-01,明星影片公司,枫林桥徐家汇路,121.467,31.210,一般活动
ZLH-001;ZLH-003;ZLH-032,1934-01-01,上海,上海,121.473,31.230,文学活动
ZLH-007;ZLH-015;ZLH-013,1934-01-01,上海,上海,121.473,31.230,签名/抗议
ZLH-018,1934-01-01,上海,上海,121.473,31.230,逮捕/牺牲
ZLH-003;ZLH-032;ZLH-016,1934-01-01,光华书局,四马路（福州路）,121.484,31.238,文学活动
ZLH-132;ZLH-134;ZLH-141,1934-01-01,内山完造,四川北路2050号,121.482,31.251,文学活动
ZLH-003,1934-01-01,内山完造,四川北路2050号,121.482,31.251,逮捕/牺牲
ZLH-007,1934-01-01,十字街头,虹口区,121.485,31.265,文学活动
ZLH-023,1934-01-01,十字街头,虹口区,121.485,31.265,签名/抗议
ZLH-016,1934-01-01,商务印书馆,河南路宝山路,121.480,31.253,文学活动
ZLH-018,1934-01-01,商务印书馆,河南路宝山路,121.480,31.253,逮捕/牺牲
ZLH-003;ZLH-032;ZLH-011;ZLH-018,1934-01-01,现代书局,四马路,121.484,31.238,文学活动
ZLH-007,1934-01-01,良友图书,北四川路851号,121.482,31.255,文学活动
ZLH-029;ZLH-030;ZLH-032;ZLH-077;ZLH-123,1935-01-01,上海,上海,121.473,31.230,一般活动
ZLH-004;ZLH-029;ZLH-005;ZLH-008;ZLH-023;ZLH-116;ZLH-139;ZLH-119;ZLH-123,1935-01-01,上海,上海,121.473,31.230,文学活动
ZLH-133;ZLH-142,1935-01-01,上海,上海,121.473,31.230,签名/抗议
ZLH-116;ZLH-139,1935-01-01,生活书店,福州路,121.484,31.238,文学活动
ZLH-002,1935-01-01,良友图书,北四川路851号,121.482,31.255,文学活动
ZLH-133;ZLH-142,1935-01-01,良友图书,北四川路851号,121.482,31.255,签名/抗议
ZLH-050,1936-01-01,上海,上海,121.473,31.230,会议/集会
