序号,Entity_ID,Timestamp,Hist_Loc,Current_Loc,Coord_XY,Event
1,ZLH-001,1930-03-02 00:00:00,公啡咖啡馆,四川北路多伦路口,"121.48, 31.27",左联成立大会
2,ZLH-003;ZLH-021;ZLH-018;ZLH-031,1922-01-01,上海,上海,"121.473, 31.230",交往/拜访
3,ZLH-021,1922-01-01,上海,上海,"121.473, 31.230",文学活动
4,ZLH-019;ZLH-021;ZLH-020,1922-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
5,ZLH-018;ZLH-037;ZLH-019,1923-01-01,上海,上海,"121.473, 31.230",逮捕/牺牲
6,ZLH-018;ZLH-037;ZLH-019,1923-01-01,创造社,闸北宝山路,"121.473, 31.260",逮捕/牺牲
7,ZLH-018;ZLH-037;ZLH-019,1923-01-01,前哨,虹口区,"121.485, 31.265",逮捕/牺牲
8,ZLH-013;ZLH-032;ZLH-034,1927-01-01,上海,上海,"121.473, 31.230",一般活动
9,ZLH-001;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1927-01-01,上海,上海,"121.473, 31.230",文学活动
10,ZLH-014;ZLH-034,1927-01-01,上海,上海,"121.473, 31.230",文学论战
11,ZLH-001;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1927-01-01,创造社,闸北宝山路,"121.473, 31.260",文学活动
12,ZLH-014;ZLH-034,1927-01-01,创造社,闸北宝山路,"121.473, 31.260",文学论战
13,ZLH-003,1927-01-01,十字街头,虹口区,"121.485, 31.265",文学活动
14,ZLH-116;ZLH-122,1928-01-01,上海,上海,"121.473, 31.230",一般活动
15,ZLH-001;ZLH-034;ZLH-004;ZLH-005;ZLH-009;ZLH-012;ZLH-013,1928-01-01,上海,上海,"121.473, 31.230",文学活动
16,ZLH-001;ZLH-034;ZLH-004;ZLH-005;ZLH-009;ZLH-013,1928-01-01,创造社,闸北宝山路,"121.473, 31.260",文学活动
17,ZLH-012,1928-01-01,太阳社,闸北区,"121.460, 31.255",文学活动
18,ZLH-036,1928-01-01,萌芽月刊,闸北区,"121.460, 31.255",文学活动
19,ZLH-015;ZLH-036,1929-01-01,上海,上海,"121.473, 31.230",一般活动
20,ZLH-012;ZLH-018;ZLH-016;ZLH-048;ZLH-042;ZLH-119;ZLH-123,1929-01-01,上海,上海,"121.473, 31.230",文学活动
