Id,Label,Alias,Reliability,Birth_Death,Role
ZLH-001,鲁迅,周树人、L.X.、豫才,5,1881-1936,核心领导
ZLH-002,茅盾,沈雁冰、玄珠、方璧、微明,5,1896-1981,核心领导
ZLH-003,瞿秋白,维它、史铁儿、宋阳、何凝,5,1899-1935,核心领导
ZLH-004,夏衍,沈端先、黄子布、蔡叔亮、丁一,5,1900-1995,核心领导
ZLH-005,冯雪峰,画室、洛扬、成休、雪峰,5,1903-1976,核心领导
ZLH-006,潘汉年,萧叔安、胡越、小潘、胡阿毛,5,1906-1977,核心领导
ZLH-007,周扬,周起应、宜振、公甫、周,5,1908-1989,核心领导
ZLH-008,田汉,寿昌、陈瑜、伯鸿、汉仙,5,1898-1968,核心领导
ZLH-009,郑伯奇,伯奇、君嘉、席珍,5,1895-1979,核心领导
ZLH-010,洪深,洪伯飞、浅哉、伯飞、深,5,1894-1955,核心领导
ZLH-011,钱杏邨,阿英、魏如晦、钱谦,5,1900-1977,核心领导
ZLH-012,蒋光慈,蒋光赤、光赤、光慈、蒋,5,1901-1931,核心领导
ZLH-013,阳翰笙,欧阳继修、华汉、翰笙、华,5,1902-1993,核心领导
ZLH-014,冯乃超,冯其英、乃超,5,1905-1983,核心领导
ZLH-015,郁达夫,郁文、达夫、郁、文,5,1896-1945,核心领导
ZLH-016,柔石,赵平复、柔、石、平复,5,1902-1931,骨干成员
ZLH-017,胡也频,胡崇轩、也频,5,1903-1931,骨干成员
ZLH-018,冯铿,岭梅、梅子、岭,5,1907-1931,骨干成员
ZLH-019,殷夫,徐白、白莽,5,1910-1931,骨干成员
ZLH-020,李求实,李伟森、仲才、求实,5,1903-1931,骨干成员
ZLH-021,丁玲,蒋冰之、彬芷,5,1904-1986,骨干成员
ZLH-022,张天翼,张元定、铁池、天翼,5,1906-1985,骨干成员
ZLH-023,叶紫,余鹤林,5,1910-1939,骨干成员
ZLH-024,艾芜,汤道耕、道耕,5,1904-1992,骨干成员
