receipt_id,event_id,search_group,search_kind,query,checked_at,backend,result_status,page_title,page_url,access_status,linked_source_id,linked_evidence_id,finding
"RCPT-EVP3-0001","EVT-00126","1","direct","郁达夫 内山书店 秘密会议 1931年 左联","2026-08-21T17:52:00+08:00","WebSearch(全网)","irrelevant","内山书店——鲁迅的秘密联络点（星火智库）","https://www.xinghuozhiku.com/99396.html","搜索结果命中（未开正文）","","","仅内山书店联络点通说、1930-08-06功德林文艺漫谈会（郁达夫在列）与东方旅社事件背景；无1931年内山书店秘密会议记载"
"RCPT-EVP3-0002","EVT-00126","2","institution","郁达夫 内山书店 会议 1931","2026-08-21T17:52:00+08:00","WebSearch(域名限定:cssn.cn,people.com.cn,hongkou.gov.cn等)","irrelevant","书为媒：一个世纪的文化交流（中国社会科学网）","https://www.cssn.cn/dfpd/dh/202506/t20250619_5882321.shtml","HTTP 200（2026-08-21 抽查WebFetch核验：讲习班1931-08-17～22与08-22新半斋婚宴签名扇记载属实）","","","1931-08-17至22内山书店木刻讲习班、08-22新半斋婚宴（郁达夫在签名扇之列）均系公开讲习与宴饮，非秘密会议"
"RCPT-EVP3-0003","EVT-00126","3","independent_work","郁达夫年谱 1931年 上海 日记 活动","2026-08-21T17:52:00+08:00","WebSearch(全网)","irrelevant","《郁达夫年谱》编制的路径和体会（中国作家网）","https://www.chinawriter.com.cn/n1/2022/0922/c442005-32531796.html","搜索结果命中（未开正文）","","","李杭春、郁峻峰《郁达夫年谱》（浙江大学出版社2021）据日记书信报刊编纂；网络可见年表载1931年仅营救东方旅社被捕者与12月上海文化界反帝抗日大联盟两事，无内山书店会议"
"RCPT-EVP3-0004","EVT-00127","1","direct","郁达夫 1931年 虹口 秘密会议 左联","2026-08-21T17:52:00+08:00","WebSearch(全网)","irrelevant","左联成立大会与会者考证（爱思想）","https://www.aisixiang.com/data/24983.html","搜索结果命中（未开正文）","","","仅1930-03-02成立大会考证（郁达夫列名而实际未出席）、1931-01-23《钓台题壁》写作背景；无1931年虹口秘密会议"
"RCPT-EVP3-0005","EVT-00127","2","institution","郁达夫 虹口 左联 会议 1931","2026-08-21T17:52:00+08:00","WebSearch(域名限定:shhk.gov.cn,whb.cn,cssn.cn,thepaper.cn)","irrelevant","悦读北外滩｜丁玲与鲁迅（上海市虹口区人民政府门户网站）","https://www.shhk.gov.cn/xwzx/002008/002008040/20241028/9ee35ba7-1ef6-4c42-9d1f-c61713b8828c.html","HTTP 200（2026-08-21 WebFetch两次核验，首句逐字命中）","","","1931年5月丁玲（非郁达夫）在北四川路一所小学第一次参加左联会议；全页无郁达夫1931年虹口会议记载"
"RCPT-EVP3-0006","EVT-00127","3","independent_work","《郁达夫日记集》或《郁达夫书信集》1931年 上海 左联 记载","2026-08-21T17:52:00+08:00","WebSearch(全网)","no_result","","","","","","现存已刊郁达夫日记自1930-06-17（增补日记之八止）直接跳至1932-10-06（沧州日记起），1931年全年无日记存世；《郁达夫书信集》未见1931年左联会议信件条目——日记书信异源互证客观不可行"
"RCPT-EVP3-0007","EVT-00224","1","direct","叶以群 1931年 内山书店 秘密会议 上海","2026-08-21T17:56:00+08:00","WebSearch(全网)","irrelevant","内山书店——鲁迅的秘密联络点（星火智库）","https://www.xinghuozhiku.com/99396.html","搜索结果命中（未开正文）","","","仅联络点通说与五烈士背景；叶以群可考活动为《文艺新闻》编辑、1931年底引荐胡风参会，无内山书店会议记载"
"RCPT-EVP3-0008","EVT-00224","2","institution","叶以群 华蒂 左联时期 中国作家网 回国","2026-08-21T18:05:00+08:00","WebSearch(全网)（首查用域名限定查询'叶以群 左联 1931 回国 活动'，结果摘要未附URL，故换词补查）","irrelevant","阮芸妍：'左联'时期的'墙头小说'——以楼适夷、叶以群为中心（中国作家网）","https://www.chinawriter.com.cn/n1/2019/1022/c404064-31412556.html","HTTP 200（2026-08-21 抽查WebFetch核验：'1931年底回国后加入左联…担任左联秘书处干事'逐字命中）","","","确认其1931年底回国加入左联、一二八前后任左联秘书处干事并参与编辑《北斗》；无任何dated内山书店会议记载"
"RCPT-EVP3-0009","EVT-00224","3","independent_work","叶以群年谱 1931年 左联 记载","2026-08-21T17:56:00+08:00","WebSearch(全网)","irrelevant","东京，追寻父辈的足迹（光明日报·叶周）","https://epaper.gmw.cn/gmrb/html/2018-02/02/nw.D110000gmrb_20180202_1-15.htm","搜索结果命中（未开正文）","","","叶周回忆引胡风回忆录：1931年底'华蒂（以群）引我去参加了左联（书记丁玲）的一次日常性会议'——未记地点，不支持'内山书店'定位"
"RCPT-EVP3-0010","EVT-00187","1","direct","1931年 左联 内山书店 秘密会议","2026-08-21T17:54:00+08:00","WebSearch(全网)","irrelevant","内山书店与鲁迅（澎湃新闻）","https://m.thepaper.cn/newsDetail_forward_2960404","搜索结果命中（未开正文）","","","仅联络点通说、花园庄避难与一·二八避难记载；无1931年内山书店具体会议"
