audit_id,evidence_id,event_id,source_id,original_event_claim,source_locator,context_excerpt,verdict,recommended_action,relink_target,confidence,receipt_id,review_status,review_note
AUD-B4A-001,FE-EVI-0528D7CD44,EVT-00001,SRC-0283,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第97页,"作 家 生 活 的 中 心 点 , 政 治 活 动 只 是 一¶种 “ 赶 任 务 “, 我 们 不 应 以 偏 概 全 、 抓 住 一 点 否 定 其 余 , 尤 其 不 应 以 讹 传 讹 。¶¶¶────────────────────────────────────────¶第 97 页¶────────────────────────────────────────¶¶第 三 章 在 残 酷 围 剿 中 壮 大 83¶¶第 三 章 在 残 酷 围 剿 中 壮 大¶¶30 年 代 的 大 规 模 革 和 文 化 运 动 到 1930 年 2 月 中 国 自 由 运 动 大 同 盟 成 立 , 达 到 了 又 一 个 高 潮 。 加 人¶这 个 反 对 白 色 恐 余 、 争 取 人 身 言 论 出 版 结 社 自 由 群 众 组 织 的 , 大 多 是 左 翼 作 家 及 进 步 文 化 人 , 包 括 许¶多 后 来 中 国 左 鬓 作 家 联 盟 的 成 员 如 鲁 迅 、 潘 汉 年 、 郁 达 夫 、 田 汉 、 郑 伯 奇 、 彭 康 、 画 室 ( 冯 雪 峰 ) 、 王¶任 叔 、 沈 端 先 ( 夏 衍 )、 王 学 文 、 叶 灵 凤 、 石 锁 顽 ( 凌 鹤 ) 、 黄 河 、 陈 正 道 、 周 全 平 、 蔡 子",insufficient_context,defer,,low,RCPT-B4A-001,pending_human_review,左联史97页上下文为30年代文化运动与自由大同盟背景叙述，含空格OCR原文逐字核对；未见3月2日大会人物/动作/地点记载，不构成成立大会证据，建议暂缓由人工定夺
AUD-B4A-002,FE-EVI-21007B9057,EVT-00001,SRC-0827,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第45页,"───────────────────¶¶第 二 章 “ 在 红 色 巨 潮 中 诞 生 31¶¶一 . 战 斗 在 北 方 大 地¶¶中 国 左 翼 作 家 联 盟 成 立 不 久 , 中 共 中 央 文 化 工 作 委 员 会 ( 中 央 文 委 ) 等 组 织 即 秘 密 派 遣 两 位 从 事¶文 艺 工 作 的 中 共 党 员 段 雪 笙 和 潘 漠 华 ( 潘 训 ) 去 北 平 , 领 导 筹 组 左 联 北 平 分 盟 。 段 雪 笙 从 上 海 出 发 ,¶行 前 还 和 外 甥 苟 克 嘉 一 同 拜 访 了 鲁 迅 先 生 , 向 他 汇 报 情 况 , 听 取 他 的 指 示 ; 潘 漠 华 是 从 开 封 去 的 。 在¶中 共 党 组 织 的 领 导 上 ,“ 从 1930 年 4、5 月 起 , 北 方 文 化 界 开 始 着 手 筹 备 成 立 北 方 左 翼 作 家 联 盟 。 当 时¶从 上 海 左 联 陆 续 来 到 北 平 的 段 雪 笙 、 潘 漠 华 、 郑 纹 波 、 冯 毅 之 、 郑 伯 奇 、 杨 纤 如 等 , 按 照 党 的 指 示 ,¶在 北 平 进 步 学 生 、 作 家 、 教 员 中 积 极 开 展 活 动 , 先 后 与 辅 仁 大 学 学 生 张 鼎 和 ( 张 璋 ), 燕 京",supports_different_event,relink_candidate,,medium,RCPT-B4A-002,pending_human_review,原文实为左联成立后段雪笙、潘漠华赴北平筹组左联北平分盟及段雪笙行前拜访鲁迅，与3月2日上海成立大会为不同事实；生产表无北方分盟条目，relink留空不编造
AUD-B4A-003,FE-EVI-3B84F7AC63,EVT-00001,SRC-0683,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第256页,"本 《 炭 矿 夫 》 〔( 德 国 L。 .¶Mearten) 。 同 年 春 , 许 峨 和 冯 锂¶¶¶────────────────────────────────────────¶第 256 页¶────────────────────────────────────────¶¶左 联 词 典¶¶从 广 东 来 到 上 海 , 林 伯 修 对 冯 备¶加 关 怀 , 指 导 良 多 , 她 此 后 逐 步¶成 长 为 坂 定 的 共 产 主 义 战 士 , 林¶起 了 重 要 作 用 。1930 年 3 月 2¶日 出 席 中 国 左 翼 作 家 联 盟 成 立¶大 会 , 为 左 联 发 起 人 之 一 。 同 年¶5 月 20 日 出 席 中 国 社 会 科 学 家¶联 盟 成 立 大 会 , 此 后 , 他 转 入 社¶联 工 作 . 这 一 时 期 , 他 结 识 鲁 迅 ,¶同 沈 端 先 ( 夏 衍 )、 田 汉 等 共 同¶战 斗 。 1934 年 任 社 联 党 团 书 记 。¶1935 年 2 月 19 日 因 叛 徒 出 卖¶被 捕 , 囚 于 上 海 监 狒 , 不 久 解 往¶南 京 宪 兵 司 令 部 看 守 所 , 后 又 解¶往 苏 州 反 省 院 , 在 狱 中 作 关 于 巴¶黎 公 社 的",supports_current_event,keep_candidate,,medium,RCPT-B4A-003,pending_human_review,左联词典林伯修条：1930年3月2日出席中国左翼作家联盟成立大会，为左联发起人之一；人物/动作/日期俱全
AUD-B4A-004,FE-EVI-489692805D,EVT-00001,SRC-0125,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第175页,"人 的 交 往 , 思 想 觉 悟 迅 速 提¶高 , 文 学 创 作 也 出 现 新 面 貌 。 同¶年 冬 , 创 作 小 说 《 乐 园 的 毁 灭 》¶( 载 1930 年 2 月 10 日 《 拓 荒¶者 》1 卷 2 期 )。 作 小 说 《 突 变 》¶( 载 1930 年 5 月 10 日 《 拓 荒¶者 》1 卷 4、5 期 合 刊 ), 两 篇 的¶主 题 都 是 妇 女 的 命 运 和 出 路 , 作¶品 指 出 : 要 生 存 只 有 “ 合 力 “¶“ 组 织 “、“ 反 抗 “。 1930 年 3 月 2¶日 , 出 席 中 国 左 翼 作 家 联 盟 成 立¶大 会 , 为 无 联 发 起 人 之 一 , 吊 在¶左 联 工 农 工 作 部 服 务 。 同 年 5¶月 , 作 为 左 联 代 表 , 和 柔 石 、 胡¶也 频 一 同 出 席 “ 全 国 苏 维 埃 区 域¶代 表 大 会 “, 听 到 苏 区 代 表 的 报¶告 , 了 解 不 少 苏 区 斗 予 的 情 况 。¶大 会 结 束 后 , 写 了 小 说 《 小 阿¶猷 》 和 《 红 的 日 记 》, 这 是 我 国¶左 翼 文 学 中 第 一 批 歌 颂 苏 区 斗¶乐 的 文 学 作 品 , 具 有 开 拓 的 意¶义 。 1931 年",supports_current_event,keep_candidate,,medium,RCPT-B4A-004,pending_human_review,左联词典冯铿条：1930年3月2日出席成立大会，为左联发起人之一；与事件主张一致
AUD-B4A-005,FE-EVI-58338B3D55,EVT-00001,SRC-0797,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第507页,"──────────────────────────────¶¶第 三 章 “ 在 残 酷 围 剑 中 壮 大 493¶¶祭 》、 《 裁 判 》、《 悲 剧 的 武 土 》、《 血 笑 》、《 一 九 二 五 的 血 一 一 关 于 “ 五 卅 “ 的 传 闻 3》、《 生 与 死 》、《 劳 动¶组 织 》、《 废 坑 》、《 五 月 一 月 》 等 小 说 和 《 莘 庄 镇 》、《 悬 案 》、《 阿 珍 》( 合 作 ) 等 戏 剧 , 是 一 位 有 成 绩 的¶小 说 家 。1930 年 3 月 2 日 出 席 中 国 左 翼 作 家 联 盟 成 立 大 会 , 为 左 联 发 起 人 之 一 。 左 联 成 立 后 , 参 加 左¶联 机 关 刊 《 大 众 文 艺 》( 第 2 卷 第 4 期 “ 新 兴 文 学 专 号 “ 下 册 及 第 2 卷 第 5、6 期 合 刊 ) 编 务 , 编 辑 其 中¶的 “ 少 年 大 众 “ 专 栏 , 发 表 了 冯 铿 的 《 小 阿 强 》、 钱 杏 邮 《 那 个 十 三 岁 的 孩 子 》 等 作 品 。¶¶龚 冰 庐 的 小 说 后 来 辑 为 《 炭 坑 夫 》、《 黎 明 之 前 》 两 书 由 现 代 书 局 出 版 ,1934 年 2 月 被 禁 。¶¶周 立 波",supports_current_event,keep_candidate,,medium,RCPT-B4A-005,pending_human_review,左联史507页龚冰庐(1908-1955)条目：小说家，1930年3月2日出席成立大会，为左联发起人之一
AUD-B4A-006,FE-EVI-6883382B0E,EVT-00001,SRC-0538,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第354页,"盾 的 论 争 的 指 示 , 组 织 郑 伯¶奇 、 冯 乃 超 、 华 汉 ( 阳 翰 笙 )、 彭¶康 、 沈 起 予 , 蒋 光 慈 、 钱 杏 邡 、¶¶¶────────────────────────────────────────¶第 354 页¶────────────────────────────────────────¶¶左 联 词 典¶¶洪 灵 菲 、 柔 石 、 冯 雪 峰 、 沈 端 先¶( 夏 衍 ) 等 创 造 社 、 太 阳 社 、 语¶¶丝 社 几 方 面 人 士 , 磋 商 筹 组 中 国¶¶左 翼 作 家 联 盟 。 工 作 中 , 尊 重 与¶信 任 鲁 迅 , 逼 事 同 鲁 迅 商 量 , 表¶现 了 优 良 的 工 作 作 风 .1930 年 2¶月 10 日 ( 拓 荒 者 1 卷 2 期 发 表¶他 的 论 文 ( 新 兴 文 学 运 动 与 自 我¶批 判 》, 揭 露 周 毓 英 以 “ 自 我 批¶判 “ 为 名 攻 击 普 罗 作 家 的 “ 错 误¶恩 想 与 荒 谬 态 度 “。 同 年 2 月 16¶日 主 持 召 开 “ 上 海 新 文 学 运 动 者¶底 讨 论 会 “, 总 结 两 年 来 我 国 新¶文 学 运 动 的 经 验 教 训 , 提 出 新 形¶势 下 左 翼 文",supports_different_event,relink_candidate,,medium,RCPT-B4A-006,pending_human_review,左联词典潘汉年条原文为与各方面磋商筹组左联（1930年2月），筹组过程不等于3月2日成立大会；生产表无筹组活动条目，relink留空
AUD-B4A-007,FE-EVI-8DB5BD3637,EVT-00001,SRC-0014,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第128页,"会 议 的 情 况 。 出 席 人¶沈 端 先 、 鲁 迅 、 潘 汉 年 、 冯 雪 峰 、¶郑 住 奇 、 蒋 光 慈 、 冯 乃 超 、 钱 松¶邮 、 标 石 、 洪 灵 菲 、 华 汉 等 , 中¶心 议 题 是 “ 清 算 过 去 “ 和 “ 确 定¶目 前 文 学 运 动 的 任 务 “, 一 致 认¶为 ,“ 有 将 国 内 左 翼 作 家 囡 结 起¶来 , 共 同 运 动 的 必 要 “。 会 上 组¶成 了 中 国 左 翼 作 家 联 盟 筹 备 委¶“ 员 会 。¶¶中 国 左 翼 作 家 联 盟 的 成 立¶¶报 导 。 署 名 “ 记 者 “, 载¶《 拓 荒 者 》1930 年 3 月 10 目 1¶卷 3 期 。 报 导 了 左 联 成 立 大 会 的¶情 况 , 列 有 冯 乃 超 、 华 汉 等 30 位¶出 席 人 的 名 单 及 当 选 常 委 的 名¶单 , 提 案 17 件 , 并 报 导 了 “ 行¶动 总 纲 领 “ 的 要 点 。¶¶左 翼 作 家 联 盟 的 成 立¶¶报 导 。 载 《 萍 芽 月 刊 》 1930¶年 4 月 1 日 1 卷 4 期 。 概 述 了¶左 联 成 立 大 会 情 况 , 转 录 了 4 中¶国 左 翼 作 家 联 盟 的 理 论 纲 领 ),¶宣 布 将 出 版",supports_current_event,keep_candidate,,medium,RCPT-B4A-007,pending_human_review,左联词典128页著录《拓荒者》1930年3月10日1卷3期左联成立报导（30位出席人及当选常委名单、提案17件）。注意：来源为后出工具书《左联词典》对同期报导的二手著录，非原始报刊页面；与四条人物词条互为印证
AUD-B4A-008,FE-EVI-FD8EBDD93E,EVT-00001,SRC-0892,中国左翼作家联盟成立大会，1930-03-02，中华艺术大学教室（原窦乐安路233弄）,第276页,"从 事 左 翼 文 学 活 动 . 上 海 艺¶术 剧 社 社 长 , 1929 年 秋 , 参 与 中¶国 左 翼 作 家 联 盟 的 发 起 和 筹 备 ,¶¶¶────────────────────────────────────────¶第 276 页¶────────────────────────────────────────¶¶左 联 词 典¶¶是 12 位 筹 备 委 员 之 一 。 1930 年¶2 月 , 参 与 发 起 中 国 自 由 运 动 大¶同 盟 。3 月 2 日 , 出 席 中 国 左 翼¶作 家 联 盟 成 立 大 会 , 在 会 上 报 告¶筠 备 经 过 , 当 选 为 常 务 委 员 .¶1931 年 加 人 中 国 左 翼 戏 剧 家 联¶盟 . 同 年 8 月 , 鲁 迅 和 日 本 友 人¶内 山 嘉 吉 举 办 “ 暑 期 木 刻 讲 习¶会 “>, 培 养 新 兴 木 刻 人 才 , 他 为¶讲 习 会 提 供 学 习 场 所 .1932 年 1¶月 28 日 , 日 本 帝 国 主 义 武 装 进¶攻 上 海 , 鲁 迅 、 茅 盾 、 叶 圣 陶 、¶郁 达 夫 等 42 位 左 翼 作 家 和 进 步¶人 士 联 名 发 表 ( 上 海 文 化 界 告 世¶界 书 》,“ 坚 决 反",supports_current_event,keep_candidate,,medium,RCPT-B4A-008,pending_human_review,左联词典郑伯奇条：3月2日出席成立大会、报告筹备经过、当选常务委员
AUD-B4A-009,FE-EVI-0357C10A69,EVT-00004,SRC-0117,鲁迅与柔石会面，1930-03-28，北四川路一带,1930年3月30日,【日记条目:三十日　星期】，同往福井写真馆照相，照讫至东亚食堂午餐。下午得矛尘信。得史沫特列信并稿。往上海齿科医院治疗。往儿岛洋行问空屋，不得。¶¶二十八日　晴。上午广平来。得母亲信，二十一日发，即复。答矛尘信。午后侍桁、柔石来，假柔石泉卅。下午同柔石赴北四川路一带看屋，不得。复史沫特列女士信。晚三弟及广平来。柔石、雪峰来。¶¶二十九日　雨。上午林惠元、白薇来，未见。午后往齿科医院，除去齿槽骨少许。柔石及三弟来，同往蓬路看屋，不得。下午收《世界美術全集》（5）一本，二元四角。晚广平来。浴。¶¶三十日　星期。昙。上午往齿科医院治疗。白薇及林惠元来。午后侍桁、雪峰、柔石来。广平来。得李春朴信。晚三弟及王蕴如携烨儿来。¶¶三十一日　昙。上午广平携海婴来。午后往医院治齿。下午同柔石往海宁路看屋。在内山书店买《フィリツプ全集》（3）一本，杂书二本，共泉三元七角。¶¶¶¶¶¶四月¶¶¶一日　晴。上午广平来。晚同柔石、侍桁往东亚食堂晚餐。夜回寓。得紫佩信。得石民信。¶¶二日　晴。午后复石民信。复朱企霞信。寄诗荃信。晚望道来。¶¶三日　昙。上午托三弟从商务印书馆买来《新郑古器图录》一部二本，泉五元六角。午后雨。下午高峻峰来。晚得黎锦明信。得乐芬信，即复。¶¶四日　昙。下午映霞来。晚寄陈望道信。石民来。¶¶五日　晴。上午得段雪生信。下午寄紫佩信，附三、四月家用二百元，托,wrong_date,relink_candidate,EVT-00006,high,RCPT-B4A-009,pending_human_review,日记原文为1930年3月三十日条（星期）：午后侍桁、雪峰、柔石来——即3月30日会面，非事件声称的3月28日；EVT-00006（鲁迅与柔石会面1930-03-30）为现成改挂目标，但同书同日已有第三批转正证据，改挂将构成同源重复，请人工权衡
AUD-B4A-010,FE-EVI-04DD852F1C,EVT-00005,SRC-0740,鲁迅与柔石会面，1930-03-28，北四川路一带,第106页,"就 可 以 化 险 为 夷 了 , 因 而 他 向¶鲁 迅 说 明 了 自 己 的 想 法 , 请 先 生 放 心 。¶¶1 月 19 日 星 期 - 一 上 午 , 江 苏 高 等 法 院 第 二 分 院 开 庭 审 讯 此 案 , 张 横 海 律 师 出 庭 为 柔 石 辩 护 。 轮 到 他¶发 言 时 , 张 律 师 起 称 , 被 告 赵 少 雄 是 当 编 辑 的 , 他 收 的 稿 子 很 多 , 但 都 不 是 他 自 己 的 , 被 捕 时 他 身 上 也¶没 有 东 西 抄 出 , 请 求 开 释 。 审 判 长 未 予 理 睬 。¶¶开 庭 审 讯 时 , 柔 石 的 同 乡 好 友 、 左 联 作 家 林 淡 秋 受 王 育 和 之 托 也 出 席 旁 听 , 因 案 情 重 大 , 当 局 出 于¶保 密 考 虑 , 旁 听 者 极 少 。¶¶为 救 援 柔 石 , 鲁 迅 曾 捐 过 款 。1931 年 2 月 7 日 《 鲁 迅 日 记 》: “ 为 赎 黄 后 绘 , 捐 款 一 百 元 。“ “ 柔 石 等 被¶捕 后 , 传 说 可 以 用 款 暗 中 赎 出 , 当 时 曾 由 互 济 会 和 通 过 别 的 关 系 请 律 师 , 鲁 迅 也 曾 捐 过 款 子 , 可 能 这 是¶用 暗 语 记 他 捐 款",supports_different_event,relink_candidate,,high,RCPT-B4A-010,pending_human_review,"左联史106页为1931年1月19日江苏高等法院第二分院开庭审讯柔石案（张横海律师辩护、林淡秋旁听）——属柔石被捕审判史事，既非1930-03-28会面，也不是""遇难""事实本身；生产事件表无柔石庭审类条目，改挂目标留空不编造，处置由人工决定"
