subject_type,subject_id,predicate,object_value,reason
event,EVT-00029,event_occurrence,丁玲抵沪就读平民女校,缺少可定位事件证据
event,EVT-00028,event_occurrence,瞿秋白到上海大学任教,缺少可定位事件证据
event,EVT-00150,event_occurrence,丁玲进入上海大学中国文学系,缺少可定位事件证据
event,EVT-00013,event_occurrence,1927年创造社文学活动记录,缺少可定位事件证据
event,EVT-00120,event_occurrence,上海文学论战,缺少可定位事件证据
event,EVT-00061,event_occurrence,冯雪峰1927年上海文学活动记录,缺少可定位事件证据
event,EVT-00060,event_occurrence,冯雪峰1927年参与创造社活动记录,缺少可定位事件证据
event,EVT-00119,event_occurrence,创造社文学论战,缺少可定位事件证据
event,EVT-00049,event_occurrence,夏衍1927年上海文学活动记录,缺少可定位事件证据
event,EVT-00048,event_occurrence,夏衍1927年参与创造社活动记录,缺少可定位事件证据
event,EVT-00092,event_occurrence,郑伯奇1927年上海文学活动记录,缺少可定位事件证据
event,EVT-00113,event_occurrence,阳翰笙1927年上海文学活动记录,缺少可定位事件证据
event,EVT-00014,event_occurrence,鲁迅1927年上海文学活动记录,缺少可定位事件证据
event,EVT-00183,event_occurrence,1928年《萌芽月刊》文学活动记录,缺少可定位事件证据
event,EVT-00011,event_occurrence,1928年上海文学活动记录,缺少可定位事件证据
event,EVT-00009,event_occurrence,1928年创造社文学活动记录,缺少可定位事件证据
event,EVT-00103,event_occurrence,1928年太阳社文学活动记录,缺少可定位事件证据
event,EVT-00059,event_occurrence,冯雪峰1928年上海文学活动记录,缺少可定位事件证据
event,EVT-00058,event_occurrence,冯雪峰1928年参与创造社活动记录,缺少可定位事件证据
event,EVT-00047,event_occurrence,夏衍1928年上海文学活动记录,缺少可定位事件证据
event,EVT-00046,event_occurrence,夏衍1928年参与创造社活动记录,缺少可定位事件证据
event,EVT-00110,event_occurrence,阳翰笙1928年上海文学活动记录,缺少可定位事件证据
event,EVT-00010,event_occurrence,鲁迅1928年上海文学活动记录,缺少可定位事件证据
event,EVT-00101,event_occurrence,1929年上海文学活动记录,缺少可定位事件证据
