evidence_id,subject_type,subject_id,predicate,object_value,source_id,locator,quote,evidence_support,source_level,review_status,reviewer_note,origin_evidence_id
"FE-EVP-0001","event","EVT-00029","event_occurrence","丁玲曾在上海平民女校就读（1922年）","SRC-EVP-001","正文第2段（网页行83-85）","学生有30多人，较著名的有丁玲（蒋冰之）等。","lead","B","pending","仅支持丁玲为该校学生；不支持当前1922-02的到沪月份。建议人工结合年谱核证，必要时将事件日期降为1922年或1922年春。2026-08-21 AI辅助网页核验通过：摘录逐字命中；页面另载女校1922年底停办、部分学生后入上海大学，可佐证时序关系。维持原判断。",""
"FE-EVP-0002","event","EVT-00028","event_occurrence","瞿秋白于1923年7月到上海大学任教","SRC-EVP-002","人物简介正文（网页行166-170）","1923年7月任上海大学教务长兼任社会学系主任、教授。","support","B","pending","日期、机构和职务均直接匹配事件；待人工复核网页归档稳定性。2026-08-21 AI辅助网页核验通过：摘录逐字命中。",""
"FE-EVP-0003","event","EVT-00028","event_occurrence","瞿秋白于1923年夏到任上海大学","SRC-EVP-003","1923年校史大事记“夏”（网页行99-102）","瞿秋白到任教务长兼社会学系主任。","support","B","pending","与SRC-EVP-002同属上海大学来源族，只作机构内部交叉核对，不计为独立双源。2026-08-21 AI辅助网页核验通过：“夏”条目逐字命中；与SRC-EVP-002的“7月”内部一致。",""
"FE-EVP-0004","event","EVT-00150","event_occurrence","丁玲于1923年8月进入上海大学学习","SRC-EVP-004","人物简介正文（网页行165-171）","1923年8月进入上海大学学习。","support","B","pending","直接支持月份和入学事实，但页面未明确“中国文学系”，院系信息需结合校史页复核。2026-08-21 AI辅助网页核验通过：摘录逐字命中；页面确实未提中国文学系。",""
"FE-EVP-0005","event","EVT-00150","event_occurrence","丁玲被上海大学中国文学系录取","SRC-EVP-003","1923年校史大事记“是年”（网页行159-161）","录取学生中有中国文学系丁玲（即丁冰之）等。","support","B","pending","支持院系信息；与SRC-EVP-004同属上海大学来源族，不计为完全独立来源。2026-08-21 AI辅助网页核验通过：“是年”条目逐字命中。合并时该事实应标注“单一机构来源族支持”。",""
"FE-EVP-0006","event","EVT-00137","event_occurrence","冯铿于1931年1月17日在上海东方旅社被捕","SRC-EVP-011","【串词】段“1月17日晚上”（专题片文字实录）","1月17日晚上，柔石和冯铿到东方旅社，参加一个党内的秘密会议。由于叛徒告密，国民党突然到旅社搜捕。冯铿与林育南、柔石、胡也频、殷夫等八位同志落入敌手。","support","B","pending","2026-08-21修订：原来源SRC-EVP-005（中国军网）复现404确认失效，改挂替代来源SRC-EVP-011；日期、东方旅社、八人被捕均直接匹配。注意南方网同题报道作“东方饭店”，展示层应保留术语差异；旧址门牌仍需单独核证。",""
"FE-EVP-0007","event","EVT-00008","event_occurrence","左联五烈士于1931年2月7日在上海龙华遇难","SRC-EVP-006","正文第2段（网页行8-10）","1931年2月7日的上海龙华，五位年轻的左翼作家遇难。","support","B","pending","可支持日期、地点和五烈士整体事件；正式合并前应与既有P1候选证据去重。2026-08-21 AI辅助网页核验通过：五烈士姓名与日期地点逐字命中。",""
"FE-EVP-0008","event","EVT-00148","event_occurrence","龙华二十四烈士于1931年2月7日在上海龙华遇难","SRC-EVP-006","正文第2段（网页行8-10）","五位年轻的左翼作家，连同其他革命者共24人。","support","B","pending","该来源用“共24人”支持事件规模；具体24人名单仍需一手名录或纪念馆名册核证。2026-08-21 AI辅助网页核验通过：“共24人”表述逐字命中。",""
"FE-EVP-0009","event","EVT-00143","event_occurrence","丁玲于1933年5月14日在昆山花园路7号被秘密绑架","SRC-EVP-007","正文第8段“1933年5月14日中午”起（网页行30-33附近）","没料想，几名国民党中统特务突然闯入，将丁玲和潘梓年秘密绑架至停放在东面百官街的汽车上，又押往南京。","support","B","pending","2026-08-21修订：原quote为缩写改写，已改为页面逐字原文；日期见同段前句“1933年5月14日中午”。支持日期、人物、地点与秘密绑架性质；网页用词“秘密绑架”与事件名“被捕”的术语差异保留。另注：该页为《新民晚报》转载文。",""
"FE-EVP-0010","event","EVT-00259","event_occurrence","宋庆龄于1933年2月17日在莫利爱路寓所宴请萧伯纳","SRC-EVP-008","照片图注（正文第“二”节内）","1933年2月17日宋庆龄在上海莫利爱路寓所宴请萧伯纳后合影。右起：鲁迅、林语堂、伊罗生、蔡元培、宋庆龄、萧伯纳、史沫特莱","support","B","pending","2026-08-21修订：原quote漏“后合影”且未标明出处性质，已按图注原文补全；正文另有佐证句“宋庆龄在上海家中热情接待了这位英国著名作家……出席作陪”。支持日期、地点与宴请事实。",""
"FE-EVP-0011","event","EVT-00042","event_occurrence","瞿秋白于1935年2月24日在长汀水口镇小径村附近被俘","SRC-EVP-009","人物生平末段“1935年2月24日”","1935年2月24日拂晓，在水口镇小径村附近不幸被俘。","support","B","pending","与当前事件日期和地点一致；地名“小迳/小径”异体写法需保留来源原文并统一展示名。2026-08-21 AI辅助网页核验通过：摘录基本逐字命中；“小径村”写法确认。",""
"FE-EVP-0012","event","EVT-00260","event_occurrence","远东反战大会于1933年9月30日在上海霍山路85号秘密召开","SRC-EVP-010","正文第2段（网页行64-66）","1933年9月30日，远东反战大会在此秘密召开。","support","B","pending","可将当前low置信且仅有原始表格线索的事件提升为有B级可定位来源的候选；待人工确认后再更新正式表。2026-08-21 AI辅助网页核验通过：摘录逐字命中；65人出席、霍山路85号均获确认。",""
