subject_type,subject_id,subject_name,review_reason,confidence,date_precision,needs_manual_review
event,EVT-00029,丁玲抵沪就读平民女校,标记为需人工复核;,medium,月,yes
event,EVT-00028,瞿秋白到上海大学任教,标记为需人工复核;,medium,月,yes
event,EVT-00150,丁玲进入上海大学中国文学系,标记为需人工复核;,medium,月,yes
event,EVT-00013,1927年创造社文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00120,上海文学论战,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,年,no
event,EVT-00061,冯雪峰1927年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00060,冯雪峰1927年参与创造社活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00049,夏衍1927年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00048,夏衍1927年参与创造社活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00092,郑伯奇1927年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00113,阳翰笙1927年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00014,鲁迅1927年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00183,1928年《萌芽月刊》文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00011,1928年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00009,1928年创造社文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00103,1928年太阳社文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00059,冯雪峰1928年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00058,冯雪峰1928年参与创造社活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00047,夏衍1928年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00046,夏衍1928年参与创造社活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00110,阳翰笙1928年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00010,鲁迅1928年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00101,1929年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00100,1929年太阳社文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00236,《生活》周刊创刊,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00235,何家槐1929年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00132,柔石1929年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00179,穆木天1929年中华艺术大学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00122,郁达夫1929年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00019,鲁迅拜访内山书店,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00016,鲁迅与内山完造通信,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00020,鲁迅拜访内山书店,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00002,鲁迅与柔石会面,标记为需人工复核;,medium,日,yes
event,EVT-00003,鲁迅与柔石会面,标记为需人工复核;,medium,日,yes
event,EVT-00017,鲁迅与内山完造通信,标记为需人工复核; 低置信度;,low,日,yes
event,EVT-00040,1930年《萌芽月刊》文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00093,1930年内山书店文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00094,1930年创造社文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00131,柔石1930年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00185,楼适夷1930年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00181,穆木天1930年中华艺术大学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00209,高尔基1930年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00023,鲁迅光华书局抗议,低置信度; 仅有年份精度;,low,年,no
event,EVT-00022,鲁迅商务印书馆抗议,低置信度; 仅有年份精度;,low,年,no
event,EVT-00004,鲁迅与柔石会面,标记为需人工复核;,medium,日,yes
