relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-00005,ZLH-001,ZLH-005,交往,high,medium,雪峰来访。报》两卷。夜柔石来。雪峰来。得方善竟信并《新声》四张，另有《希望》,,
REL-00036,ZLH-001,ZLH-034,文学论战,low,medium,"2左联盟员简介唁,并写下万《哭鲁迅先生》的悼诗,称誉鲁迅是“伟大的导师,伟大的战友“,“伟大的民族的魁魄“田汉(1898一1968)左翼戏剧家、诙人。笔名陈瑜,; 927年底,和朱镜我,李初梨、彭康、李铁声等同时团到上海,加入创造社,成为后期创造社的生力军,1928年月,与成仿昌等创办《文化批判》杂志,倡导无产阶级革命文; 它》(两书均由未名社出版,收入鲁迅编辑的“未名新集“)。年夏,参",,
REL-00041,ZLH-001,ZLH-041,纪念/悼念,critical,medium,"一一左联周年纪念语论文。.骆宾基作,载《文艺界通讯》1989年期。指出““左联「的文学源于.左联“的马列主义的艺术观“,对“这些年来忽视或否定中国革和传统; ,短篇小说集《总退却》的出版,鲁迅为该书作序,中篇《宪场》的内容以及茅盾对莲琴这两部作品的肯定与赞扬。我的习作生活是怎样开始的回忆录。葛琴作,载《文艺月报》19",,
REL-00045,ZLH-001,ZLH-046,待核验,high,low,",短篇小说集《总退却》的出版,鲁迅为该书作序,中篇《宪场》的内容以及茅盾对莲琴这两部作品的肯定与赞扬。我的习作生活是怎样开始的回忆录。葛琴作,载《文艺月报》19",,
REL-00046,ZLH-001,ZLH-048,交游,low,medium,"和有关决议指导下进行文学创作。鲁迅是左联的“盟主“,也是中国左翼文学运动的旗帜,潘汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都; 批贡献卓著、德高望重的老作家如鲁迅、茅盾、瞿秋白、蒋光慈、田汉、洪深,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁; 世界的公敌》(杰克,伦敦)。〉王任叔(1901-~-1972)无翼作家,",,
REL-00056,ZLH-001,ZLH-067,师生关系,high,medium,"(收在《思想激溃下的中国命运:鲁迅与左联》书中)归纳了有关材料,在左联秘书处工作过的人员如下:1930年周全平任书记。年月一月茅看任书记.1932; 发表,差的就提出修改意见。“(任钧:《关于左联的一些情况矣成员有沈起予、金奎光、汪金丁、鲁迅、苟盾、周扬、胡风、任钧、沙汀; 半年至年间成立,成员有任钧、叶以群、谢冰莹、孟式钩等人;全部是留学生。年九一八事变发生,除孟式",,
REL-00059,ZLH-001,ZLH-071,时空共现,low,medium,李霁野来访。澜君及幼渔之四子女。李霁野来访，未遇。孙祥偈、台静农来访，未遇。,,
REL-00063,ZLH-001,ZLH-077,同属组织,critical,low,"乡曲》(杨骚)、《自已的歌》(柳倩)和《战歌》(任铉。牟他还出版了被认为是中国新诗坛上出现得最早的沙刺诗集《冷热集》。任钧在介绘外国革命文学作品和革命; 文,载同年月日本《改造》杂志鲁迅主持的“中国作家杰作小说“专性。同年月,胡风把前述五篇反映苏区生活的小说编为一集,交巴金编入“文学丛刊“,由上海文化生活出版; 服务队,开趋东战场。左联时期,柳倩也参加音乐界的活动,1934年与聪耳合",,
REL-00070,ZLH-001,ZLH-091,师生关系,high,medium,"担任过左联执行委员职务的人员有鲁迅、沈端先(夏衍3、冯乃超、钱枪邱、田汉、郑伯奇、洪灵菲、周全平、蒋光慈、胡也频、柔石、姚蓬子、阳翰笙、茅眉、周扬、周文、朗风、; 1931年间成立,成员有任钧、叶以群、谢冰莹、孟式钩等人;全部是留学生。年九一八事变发生,除孟式钧外,其余盟员均回国参加抗日斗争。年月,工联盟; 提起办《我们来纪念高尔基》《悼鲁迅先生》等诗文。年在“国防文学“",,
REL-00071,ZLH-001,ZLH-093,待核验,critical,low,"介的“暑期文艺补习班“,职听过鲁迅先生的演讲和冯雪峰、胡也频、戴望舒等的讲课,同年月,参加在南厕路举行的、庆祝红军攻克长沙的示威游行。年冬加入中国共产; 日自费出版,秋田雨雀题写封面。鲁迅重视《六月流火》的销售,曾寄此书去北平代销,曹靖华向鲁迅报告长诚在北平颡受欢迎,鲁迅复信表示:“《六月流火》看的人既多,当再寄; 鸯蝴蝶派文学的重要论文。茅盾和鲁迅为美国伊罗生编译《草鞋脚》一书开列的《",,
